
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
16,Sat,December 22,boxscore,Tennessee Titans,@,Oakland Raiders,13,10,262,2,311,1
16,Sat,December 22,boxscore,San Francisco 49ers,,Philadelphia Eagles,13,3,244,0,292,1
16,Sat,December 22,boxscore,New England Patriots,,Miami Dolphins,20,13,313,0,368,3
16,Sun,December 23,boxscore,Chicago Bears,@,Washington Redskins,20,15,237,1,293,2
16,Sun,December 23,boxscore,Baltimore Ravens,,Cincinnati Bengals,16,0,305,1,281,4
16,Sun,December 23,boxscore,New York Giants,,Seattle Seahawks,27,24,420,2,259,2
16,Sun,December 23,boxscore,Atlanta Falcons,,Buffalo Bills,33,30,489,2,398,0
16,Sun,December 23,boxscore,Arizona Cardinals,,Dallas Cowboys,17,10,209,0,343,3
16,Sun,December 23,boxscore,Pittsburgh Steelers,,Detroit Lions,47,14,429,0,151,3
16,Sun,December 23,boxscore,St. Louis Rams,@,Carolina Panthers,38,32,412,3,402,1
16,Sun,December 23,boxscore,New York Jets,@,Indianapolis Colts,29,28,451,2,393,2
16,Sun,December 23,boxscore,Green Bay Packers,,Cleveland Browns,30,7,361,1,337,5
16,Sun,December 23,boxscore,Tampa Bay Buccaneers,,New Orleans Saints,48,21,364,0,271,4
16,Sun,December 23,boxscore,Kansas City Chiefs,,San Diego Chargers,20,17,323,2,329,0
16,Sun,December 23,boxscore,Jacksonville Jaguars,@,Minnesota Vikings,33,3,423,0,214,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
17,Sat,December 29,boxscore,Tampa Bay Buccaneers,,Baltimore Ravens,22,10,213,0,257,3
17,Sun,December 30,boxscore,Chicago Bears,@,Detroit Lions,24,0,326,0,332,5
17,Sun,December 30,boxscore,Miami Dolphins,,Atlanta Falcons,21,14,226,3,388,4
17,Sun,December 30,boxscore,Cincinnati Bengals,,Pittsburgh Steelers,26,23,544,3,313,5
17,Sun,December 30,boxscore,Kansas City Chiefs,@,Jacksonville Jaguars,30,26,365,4,431,3
17,Sun,December 30,boxscore,Philadelphia Eagles,,New York Giants,24,21,361,2,420,1
17,Sun,December 30,boxscore,Green Bay Packers,,Minnesota Vikings,24,13,213,1,302,3
17,Sun,December 30,boxscore,Denver Broncos,,Oakland Raiders,23,17,231,0,334,3
17,Sun,December 30,boxscore,Washington Redskins,@,New Orleans Saints,40,10,263,1,213,4
17,Sun,December 30,boxscore,Cleveland Browns,@,Tennessee Titans,41,38,409,1,452,2
