
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
13,Sun,November 30,boxscore,Jacksonville Jaguars,,Tampa Bay Buccaneers,17,10,359,1,221,1
13,Sun,November 30,boxscore,Cincinnati Bengals,@,Pittsburgh Steelers,24,20,379,0,384,2
13,Sun,November 30,boxscore,Houston Texans,,Atlanta Falcons,17,13,236,1,243,1
13,Sun,November 30,boxscore,Denver Broncos,@,Oakland Raiders,22,8,287,1,262,3
13,Sun,November 30,boxscore,Baltimore Ravens,,San Francisco 49ers,44,6,282,2,264,4
13,Sun,November 30,boxscore,Buffalo Bills,@,New York Giants,24,7,403,0,222,1
13,Sun,November 30,boxscore,Seattle Seahawks,,Cleveland Browns,34,7,463,1,214,3
13,Sun,November 30,boxscore,Chicago Bears,,Arizona Cardinals,28,3,422,1,197,3
13,Sun,November 30,boxscore,St. Louis Rams,,Minnesota Vikings,48,17,396,1,465,3
13,Sun,November 30,boxscore,Philadelphia Eagles,@,Carolina Panthers,25,16,283,2,336,1
13,Sun,November 30,boxscore,New Orleans Saints,@,Washington Redskins,24,20,310,0,392,3
13,Sun,November 30,boxscore,New England Patriots,@,Indianapolis Colts,38,34,282,3,370,2
13,Mon,December 1,boxscore,New York Jets,,Tennessee Titans,24,17,320,2,347,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
14,Sun,December 7,boxscore,Philadelphia Eagles,,Dallas Cowboys,36,10,403,0,225,2
14,Sun,December 7,boxscore,Jacksonville Jaguars,,Houston Texans,27,0,390,0,124,3
14,Sun,December 7,boxscore,Minnesota Vikings,,Seattle Seahawks,34,7,465,0,258,3
14,Sun,December 7,boxscore,Tampa Bay Buccaneers,@,New Orleans Saints,14,7,314,1,292,3
14,Sun,December 7,boxscore,Indianapolis Colts,@,Tennessee Titans,29,27,340,0,327,4
14,Sun,December 7,boxscore,Atlanta Falcons,,Carolina Panthers,20,14,380,2,231,3
14,Sun,December 7,boxscore,Washington Redskins,@,New York Giants,20,7,288,0,220,3
14,Sun,December 7,boxscore,Buffalo Bills,,New York Jets,17,6,256,2,215,1
14,Sun,December 7,boxscore,San Diego Chargers,@,Detroit Lions,14,7,375,2,276,0
14,Sun,December 7,boxscore,San Francisco 49ers,,Arizona Cardinals,50,14,496,1,210,2
14,Sun,December 7,boxscore,Pittsburgh Steelers,,Oakland Raiders,27,7,399,2,161,3
14,Sun,December 7,boxscore,Denver Broncos,,Kansas City Chiefs,45,27,508,0,444,0
14,Sun,December 7,boxscore,Green Bay Packers,,Chicago Bears,34,21,307,1,275,5
14,Sun,December 7,boxscore,New England Patriots,,Miami Dolphins,12,0,228,1,134,3
14,Sun,December 7,boxscore,Baltimore Ravens,,Cincinnati Bengals,31,13,353,3,268,5
14,Mon,December 8,boxscore,St. Louis Rams,@,Cleveland Browns,26,20,328,1,309,4
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
15,Sun,December 14,boxscore,Oakland Raiders,,Baltimore Ravens,20,12,265,0,319,3
15,Sun,December 14,boxscore,Dallas Cowboys,@,Washington Redskins,27,0,326,1,161,6
15,Sun,December 14,boxscore,New England Patriots,,Jacksonville Jaguars,27,13,296,1,354,2
15,Sun,December 14,boxscore,St. Louis Rams,,Seattle Seahawks,27,22,316,1,366,1
15,Sun,December 14,boxscore,Indianapolis Colts,,Atlanta Falcons,38,7,465,2,154,2
15,Sun,December 14,boxscore,Green Bay Packers,@,San Diego Chargers,38,21,361,1,424,4
15,Sun,December 14,boxscore,Chicago Bears,,Minnesota Vikings,13,10,232,0,393,1
15,Sun,December 14,boxscore,New Orleans Saints,,New York Giants,45,7,440,1,241,2
15,Sun,December 14,boxscore,Cincinnati Bengals,,San Francisco 49ers,41,38,393,0,502,3
15,Sun,December 14,boxscore,New York Jets,,Pittsburgh Steelers,6,0,319,1,231,0
15,Sun,December 14,boxscore,Kansas City Chiefs,,Detroit Lions,45,17,521,0,334,2
15,Sun,December 14,boxscore,Denver Broncos,,Cleveland Browns,23,20,417,1,275,1
15,Sun,December 14,boxscore,Tennessee Titans,,Buffalo Bills,28,26,349,1,241,1
15,Sun,December 14,boxscore,Tampa Bay Buccaneers,,Houston Texans,16,3,398,0,107,0
15,Sun,December 14,boxscore,Carolina Panthers,@,Arizona Cardinals,20,17,298,2,317,2
15,Mon,December 15,boxscore,Philadelphia Eagles,@,Miami Dolphins,34,27,401,1,398,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
16,Sat,December 20,boxscore,Atlanta Falcons,@,Tampa Bay Buccaneers,30,28,267,1,440,4
16,Sat,December 20,boxscore,New England Patriots,@,New York Jets,21,16,271,1,321,5
16,Sat,December 20,boxscore,Minnesota Vikings,,Kansas City Chiefs,45,20,469,1,329,4
16,Sun,December 21,boxscore,Carolina Panthers,,Detroit Lions,20,14,384,2,106,1
16,Sun,December 21,boxscore,Dallas Cowboys,,New York Giants,19,3,326,0,213,0
16,Sun,December 21,boxscore,San Francisco 49ers,@,Philadelphia Eagles,31,28,414,1,293,3
16,Sun,December 21,boxscore,Miami Dolphins,@,Buffalo Bills,20,3,169,2,177,4
16,Sun,December 21,boxscore,Baltimore Ravens,@,Cleveland Browns,35,0,359,1,211,4
16,Sun,December 21,boxscore,St. Louis Rams,,Cincinnati Bengals,27,10,371,1,286,3
16,Sun,December 21,boxscore,Jacksonville Jaguars,,New Orleans Saints,20,19,374,2,350,1
16,Sun,December 21,boxscore,Pittsburgh Steelers,,San Diego Chargers,40,24,341,0,344,3
16,Sun,December 21,boxscore,Chicago Bears,,Washington Redskins,27,24,429,2,286,0
16,Sun,December 21,boxscore,Seattle Seahawks,,Arizona Cardinals,28,10,340,4,299,1
16,Sun,December 21,boxscore,Denver Broncos,@,Indianapolis Colts,31,17,465,1,183,0
16,Sun,December 21,boxscore,Tennessee Titans,@,Houston Texans,27,24,450,1,326,3
16,Mon,December 22,boxscore,Green Bay Packers,@,Oakland Raiders,41,7,548,0,298,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
17,Sat,December 27,boxscore,Philadelphia Eagles,@,Washington Redskins,31,7,332,0,260,2
17,Sat,December 27,boxscore,Seattle Seahawks,@,San Francisco 49ers,24,17,394,3,290,1
17,Sat,December 27,boxscore,New England Patriots,,Buffalo Bills,31,0,321,1,256,4
17,Sun,December 28,boxscore,Baltimore Ravens,,Pittsburgh Steelers,13,10,279,2,214,5
17,Sun,December 28,boxscore,San Diego Chargers,,Oakland Raiders,21,14,337,0,141,1
17,Sun,December 28,boxscore,Atlanta Falcons,,Jacksonville Jaguars,21,14,344,1,320,1
17,Sun,December 28,boxscore,Carolina Panthers,@,New York Giants,37,24,251,2,175,5
17,Sun,December 28,boxscore,Indianapolis Colts,@,Houston Texans,20,17,418,2,204,1
17,Sun,December 28,boxscore,Tennessee Titans,,Tampa Bay Buccaneers,33,13,344,1,274,4
17,Sun,December 28,boxscore,Arizona Cardinals,,Minnesota Vikings,18,17,219,1,342,2
17,Sun,December 28,boxscore,Miami Dolphins,,New York Jets,23,21,397,1,285,0
17,Sun,December 28,boxscore,Kansas City Chiefs,,Chicago Bears,31,3,282,1,241,2
17,Sun,December 28,boxscore,Green Bay Packers,,Denver Broncos,31,3,366,1,216,3
17,Sun,December 28,boxscore,Cleveland Browns,@,Cincinnati Bengals,22,14,379,0,271,1
17,Sun,December 28,boxscore,New Orleans Saints,,Dallas Cowboys,13,7,291,0,352,3
17,Sun,December 28,boxscore,Detroit Lions,,St. Louis Rams,30,20,342,2,194,3
,,Playoffs,,,,,,,,,,
WildCard,Sat,January 3,boxscore,Carolina Panthers,,Dallas Cowboys,29,10,380,0,204,2
WildCard,Sat,January 3,boxscore,Tennessee Titans,@,Baltimore Ravens,20,17,324,3,255,2
WildCard,Sun,January 4,boxscore,Green Bay Packers,,Seattle Seahawks,33,27,397,0,340,1
WildCard,Sun,January 4,boxscore,Indianapolis Colts,,Denver Broncos,41,10,479,1,322,3
Division,Sat,January 10,boxscore,New England Patriots,,Tennessee Titans,17,14,297,1,284,1
Division,Sat,January 10,boxscore,Carolina Panthers,@,St. Louis Rams,29,23,485,1,380,3
Division,Sun,January 11,boxscore,Philadelphia Eagles,,Green Bay Packers,20,17,363,1,381,1
Division,Sun,January 11,boxscore,Indianapolis Colts,@,Kansas City Chiefs,38,31,434,0,408,1
ConfChamp,Sun,January 18,boxscore,New England Patriots,,Indianapolis Colts,24,14,349,2,306,5
ConfChamp,Sun,January 18,boxscore,Carolina Panthers,@,Philadelphia Eagles,14,3,256,0,289,4
SuperBowl,Sun,February 1,boxscore,New England Patriots,N,Carolina Panthers,32,29,481,1,387,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Thu,September 9,boxscore,New England Patriots,,Indianapolis Colts,27,24,402,2,446,3
1,Sat,September 11,boxscore,Tennessee Titans,@,Miami Dolphins,17,7,243,1,263,3
1,Sun,September 12,boxscore,Atlanta Falcons,@,San Francisco 49ers,21,19,227,1,359,2
1,Sun,September 12,boxscore,Washington Redskins,,Tampa Bay Buccaneers,16,10,291,1,169,2
1,Sun,September 12,boxscore,Seattle Seahawks,@,New Orleans Saints,21,7,415,2,281,3
1,Sun,September 12,boxscore,San Diego Chargers,@,Houston Texans,27,20,324,0,336,4
1,Sun,September 12,boxscore,Cleveland Browns,,Baltimore Ravens,20,3,250,0,254,3
1,Sun,September 12,boxscore,Pittsburgh Steelers,,Oakland Raiders,24,21,237,1,358,4
1,Sun,September 12,boxscore,Philadelphia Eagles,,New York Giants,31,17,454,0,413,1
1,Sun,September 12,boxscore,Denver Broncos,,Kansas City Chiefs,34,24,413,3,318,1
1,Sun,September 12,boxscore,New York Jets,,Cincinnati Bengals,31,24,438,1,351,2
1,Sun,September 12,boxscore,St. Louis Rams,,Arizona Cardinals,17,10,448,3,260,0
1,Sun,September 12,boxscore,Minnesota Vikings,,Dallas Cowboys,35,17,415,0,423,2
1,Sun,September 12,boxscore,Detroit Lions,@,Chicago Bears,20,16,262,1,342,4
1,Sun,September 12,boxscore,Jacksonville Jaguars,@,Buffalo Bills,13,10,225,2,242,2
1,Mon,September 13,boxscore,Green Bay Packers,@,Carolina Panthers,24,14,279,0,300,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
2,Sun,September 19,boxscore,New York Jets,@,San Diego Chargers,34,28,380,0,327,4
2,Sun,September 19,boxscore,Baltimore Ravens,,Pittsburgh Steelers,30,13,259,0,310,3
2,Sun,September 19,boxscore,Atlanta Falcons,,St. Louis Rams,34,17,416,0,280,2
2,Sun,September 19,boxscore,Seattle Seahawks,@,Tampa Bay Buccaneers,10,6,182,1,271,3
2,Sun,September 19,boxscore,New Orleans Saints,,San Francisco 49ers,30,27,302,1,370,3
2,Sun,September 19,boxscore,New York Giants,,Washington Redskins,20,14,277,1,322,7
2,Sun,September 19,boxscore,New England Patriots,@,Arizona Cardinals,23,12,379,3,167,2
2,Sun,September 19,boxscore,Cincinnati Bengals,,Miami Dolphins,16,13,210,1,226,3
2,Sun,September 19,boxscore,Oakland Raiders,,Buffalo Bills,13,10,273,0,243,1
2,Sun,September 19,boxscore,Detroit Lions,,Houston Texans,28,16,266,1,386,3
2,Sun,September 19,boxscore,Jacksonville Jaguars,,Denver Broncos,7,6,176,0,356,1
2,Sun,September 19,boxscore,Indianapolis Colts,@,Tennessee Titans,31,17,373,1,389,2
2,Sun,September 19,boxscore,Dallas Cowboys,,Cleveland Browns,19,12,441,4,202,3
2,Sun,September 19,boxscore,Chicago Bears,@,Green Bay Packers,21,10,307,2,404,3
2,Sun,September 19,boxscore,Carolina Panthers,@,Kansas City Chiefs,28,17,358,2,281,2
2,Mon,September 20,boxscore,Philadelphia Eagles,,Minnesota Vikings,27,16,317,1,410,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
3,Sun,September 26,boxscore,Oakland Raiders,,Tampa Bay Buccaneers,30,20,399,2,389,1
3,Sun,September 26,boxscore,Seattle Seahawks,,San Francisco 49ers,34,0,374,0,175,4
3,Sun,September 26,boxscore,Denver Broncos,,San Diego Chargers,23,13,328,1,214,1
3,Sun,September 26,boxscore,Baltimore Ravens,@,Cincinnati Bengals,23,9,380,2,398,4
3,Sun,September 26,boxscore,Pittsburgh Steelers,@,Miami Dolphins,13,3,314,1,169,4
3,Sun,September 26,boxscore,Philadelphia Eagles,@,Detroit Lions,30,13,402,1,256,1
3,Sun,September 26,boxscore,New Orleans Saints,@,St. Louis Rams,28,25,462,0,403,1
3,Sun,September 26,boxscore,Jacksonville Jaguars,@,Tennessee Titans,15,12,253,0,249,1
3,Sun,September 26,boxscore,Minnesota Vikings,,Chicago Bears,27,22,443,2,385,1
3,Sun,September 26,boxscore,New York Giants,,Cleveland Browns,27,10,390,0,285,3
3,Sun,September 26,boxscore,Atlanta Falcons,,Arizona Cardinals,6,3,283,4,240,4
3,Sun,September 26,boxscore,Indianapolis Colts,,Green Bay Packers,45,31,453,0,459,2
3,Sun,September 26,boxscore,Houston Texans,@,Kansas City Chiefs,24,21,296,1,366,1
3,Mon,September 27,boxscore,Dallas Cowboys,@,Washington Redskins,21,18,287,0,384,0
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
4,Sun,October 3,boxscore,New England Patriots,@,Buffalo Bills,31,17,397,1,337,2
4,Sun,October 3,boxscore,New York Jets,@,Miami Dolphins,17,9,235,1,293,4
4,Sun,October 3,boxscore,San Diego Chargers,,Tennessee Titans,38,17,393,0,330,0
4,Sun,October 3,boxscore,Philadelphia Eagles,@,Chicago Bears,19,9,376,1,224,1
4,Sun,October 3,boxscore,Houston Texans,,Oakland Raiders,30,17,386,1,375,5
4,Sun,October 3,boxscore,St. Louis Rams,@,San Francisco 49ers,24,14,360,0,332,2
4,Sun,October 3,boxscore,Cleveland Browns,,Washington Redskins,17,13,280,1,265,2
4,Sun,October 3,boxscore,New York Giants,@,Green Bay Packers,14,7,403,1,301,3
4,Sun,October 3,boxscore,Arizona Cardinals,,New Orleans Saints,34,10,373,1,279,2
4,Sun,October 3,boxscore,Atlanta Falcons,@,Carolina Panthers,27,10,313,0,360,3
4,Sun,October 3,boxscore,Denver Broncos,@,Tampa Bay Buccaneers,16,13,249,0,269,1
4,Sun,October 3,boxscore,Indianapolis Colts,@,Jacksonville Jaguars,24,17,337,1,408,1
4,Sun,October 3,boxscore,Pittsburgh Steelers,,Cincinnati Bengals,28,17,333,2,293,3
4,Mon,October 4,boxscore,Kansas City Chiefs,@,Baltimore Ravens,27,24,398,0,207,0
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
5,Sun,October 10,boxscore,New York Jets,,Buffalo Bills,16,14,383,2,252,1
5,Sun,October 10,boxscore,Denver Broncos,,Carolina Panthers,20,17,434,2,227,0
5,Sun,October 10,boxscore,New York Giants,@,Dallas Cowboys,26,10,336,1,278,2
5,Sun,October 10,boxscore,St. Louis Rams,@,Seattle Seahawks,33,27,441,3,391,0
5,Sun,October 10,boxscore,Baltimore Ravens,@,Washington Redskins,17,10,232,3,107,2
5,Sun,October 10,boxscore,Minnesota Vikings,@,Houston Texans,34,28,510,0,410,0
5,Sun,October 10,boxscore,New England Patriots,,Miami Dolphins,24,10,204,1,295,2
5,Sun,October 10,boxscore,San Diego Chargers,,Jacksonville Jaguars,34,21,386,0,429,3
5,Sun,October 10,boxscore,Detroit Lions,@,Atlanta Falcons,17,10,227,0,279,4
5,Sun,October 10,boxscore,San Francisco 49ers,,Arizona Cardinals,31,28,448,2,320,1
5,Sun,October 10,boxscore,Pittsburgh Steelers,,Cleveland Browns,34,23,401,1,305,1
5,Sun,October 10,boxscore,Tampa Bay Buccaneers,@,New Orleans Saints,20,17,319,1,251,2
5,Sun,October 10,boxscore,Indianapolis Colts,,Oakland Raiders,35,14,338,1,269,3
5,Mon,October 11,boxscore,Tennessee Titans,@,Green Bay Packers,48,27,456,0,437,6
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
6,Sun,October 17,boxscore,New York Jets,,San Francisco 49ers,22,14,374,0,371,2
6,Sun,October 17,boxscore,New England Patriots,,Seattle Seahawks,30,20,362,2,443,2
6,Sun,October 17,boxscore,Washington Redskins,@,Chicago Bears,13,10,311,1,160,1
6,Sun,October 17,boxscore,Pittsburgh Steelers,@,Dallas Cowboys,24,20,297,0,348,1
6,Sun,October 17,boxscore,Minnesota Vikings,@,New Orleans Saints,38,31,605,3,385,1
6,Sun,October 17,boxscore,Buffalo Bills,,Miami Dolphins,20,13,341,0,212,1
6,Sun,October 17,boxscore,Green Bay Packers,@,Detroit Lions,38,10,434,0,125,1
6,Sun,October 17,boxscore,Cleveland Browns,,Cincinnati Bengals,34,17,449,4,189,1
6,Sun,October 17,boxscore,Philadelphia Eagles,,Carolina Panthers,30,8,283,1,344,4
6,Sun,October 17,boxscore,Houston Texans,@,Tennessee Titans,20,10,345,2,305,4
6,Sun,October 17,boxscore,Atlanta Falcons,,San Diego Chargers,21,20,299,2,318,1
6,Sun,October 17,boxscore,Denver Broncos,@,Oakland Raiders,31,3,444,1,145,2
6,Sun,October 17,boxscore,Jacksonville Jaguars,,Kansas City Chiefs,22,16,378,0,350,1
6,Mon,October 18,boxscore,St. Louis Rams,,Tampa Bay Buccaneers,28,21,324,2,332,4
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
7,Sun,October 24,boxscore,Arizona Cardinals,,Seattle Seahawks,25,17,316,2,257,4
7,Sun,October 24,boxscore,San Diego Chargers,@,Carolina Panthers,17,6,302,1,263,1
7,Sun,October 24,boxscore,Minnesota Vikings,,Tennessee Titans,20,3,313,0,243,4
7,Sun,October 24,boxscore,New England Patriots,,New York Jets,13,7,343,1,268,1
7,Sun,October 24,boxscore,Tampa Bay Buccaneers,,Chicago Bears,19,7,293,2,167,2
7,Sun,October 24,boxscore,Jacksonville Jaguars,@,Indianapolis Colts,27,24,414,2,446,2
7,Sun,October 24,boxscore,Detroit Lions,@,New York Giants,28,13,325,0,325,2
7,Sun,October 24,boxscore,Green Bay Packers,,Dallas Cowboys,41,20,480,0,362,0
7,Sun,October 24,boxscore,Baltimore Ravens,,Buffalo Bills,20,6,160,1,270,5
7,Sun,October 24,boxscore,Philadelphia Eagles,@,Cleveland Browns,34,31,488,1,394,3
7,Sun,October 24,boxscore,Miami Dolphins,,St. Louis Rams,31,14,323,0,372,1
7,Sun,October 24,boxscore,New Orleans Saints,@,Oakland Raiders,31,26,322,0,432,2
7,Sun,October 24,boxscore,Kansas City Chiefs,,Atlanta Falcons,56,10,540,1,222,2
7,Mon,October 25,boxscore,Cincinnati Bengals,,Denver Broncos,23,10,321,1,318,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
8,Sun,October 31,boxscore,Philadelphia Eagles,,Baltimore Ravens,15,10,298,1,327,2
8,Sun,October 31,boxscore,New York Giants,@,Minnesota Vikings,34,13,283,0,324,3
8,Sun,October 31,boxscore,Pittsburgh Steelers,,New England Patriots,34,20,417,0,248,4
8,Sun,October 31,boxscore,Chicago Bears,,San Francisco 49ers,23,13,254,3,162,2
8,Sun,October 31,boxscore,Houston Texans,,Jacksonville Jaguars,20,6,369,2,287,2
8,Sun,October 31,boxscore,Dallas Cowboys,,Detroit Lions,31,21,357,3,284,1
8,Sun,October 31,boxscore,Buffalo Bills,,Arizona Cardinals,38,14,209,0,213,0
8,Sun,October 31,boxscore,Kansas City Chiefs,,Indianapolis Colts,45,35,590,2,505,1
8,Sun,October 31,boxscore,Tennessee Titans,,Cincinnati Bengals,27,20,358,1,274,2
8,Sun,October 31,boxscore,Seattle Seahawks,,Carolina Panthers,23,17,433,2,342,1
8,Sun,October 31,boxscore,San Diego Chargers,,Oakland Raiders,42,14,448,1,281,3
8,Sun,October 31,boxscore,Atlanta Falcons,@,Denver Broncos,41,28,467,1,567,3
8,Sun,October 31,boxscore,Green Bay Packers,@,Washington Redskins,28,14,361,4,272,2
8,Mon,November 1,boxscore,New York Jets,,Miami Dolphins,41,14,472,0,259,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
9,Sun,November 7,boxscore,Buffalo Bills,,New York Jets,22,17,341,0,282,2
9,Sun,November 7,boxscore,Pittsburgh Steelers,,Philadelphia Eagles,27,3,420,2,113,1
9,Sun,November 7,boxscore,Oakland Raiders,@,Carolina Panthers,27,24,297,1,304,0
9,Sun,November 7,boxscore,Seattle Seahawks,@,San Francisco 49ers,42,27,453,0,317,1
9,Sun,November 7,boxscore,Washington Redskins,@,Detroit Lions,17,10,229,0,322,1
9,Sun,November 7,boxscore,New England Patriots,@,St. Louis Rams,40,22,376,1,340,3
9,Sun,November 7,boxscore,San Diego Chargers,,New Orleans Saints,43,17,402,0,220,2
9,Sun,November 7,boxscore,Chicago Bears,@,New York Giants,28,21,231,2,258,5
9,Sun,November 7,boxscore,Baltimore Ravens,,Cleveland Browns,27,13,240,1,217,2
9,Sun,November 7,boxscore,Arizona Cardinals,@,Miami Dolphins,24,23,270,1,403,2
9,Sun,November 7,boxscore,Cincinnati Bengals,,Dallas Cowboys,26,3,328,0,311,5
9,Sun,November 7,boxscore,Tampa Bay Buccaneers,,Kansas City Chiefs,34,31,418,0,459,3
9,Sun,November 7,boxscore,Denver Broncos,,Houston Texans,31,13,364,0,331,0
9,Mon,November 8,boxscore,Indianapolis Colts,,Minnesota Vikings,31,28,408,0,292,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
10,Sun,November 14,boxscore,Arizona Cardinals,,New York Giants,17,14,178,0,308,0
10,Sun,November 14,boxscore,Pittsburgh Steelers,@,Cleveland Browns,24,10,300,1,228,4
10,Sun,November 14,boxscore,Baltimore Ravens,@,New York Jets,20,17,262,1,305,1
10,Sun,November 14,boxscore,St. Louis Rams,,Seattle Seahawks,23,12,462,2,372,2
10,Sun,November 14,boxscore,Atlanta Falcons,,Tampa Bay Buccaneers,24,14,325,1,193,1
10,Sun,November 14,boxscore,Green Bay Packers,,Minnesota Vikings,34,31,442,1,416,0
10,Sun,November 14,boxscore,New Orleans Saints,,Kansas City Chiefs,27,20,374,1,497,4
10,Sun,November 14,boxscore,Indianapolis Colts,,Houston Texans,49,14,398,2,302,4
10,Sun,November 14,boxscore,New England Patriots,,Buffalo Bills,29,6,428,1,125,5
10,Sun,November 14,boxscore,Carolina Panthers,@,San Francisco 49ers,37,27,358,2,357,5
10,Sun,November 14,boxscore,Chicago Bears,@,Tennessee Titans,19,17,176,3,390,3
10,Sun,November 14,boxscore,Cincinnati Bengals,@,Washington Redskins,17,10,316,3,268,3
10,Sun,November 14,boxscore,Jacksonville Jaguars,,Detroit Lions,23,17,415,0,190,1
10,Mon,November 15,boxscore,Philadelphia Eagles,@,Dallas Cowboys,49,21,485,0,317,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
11,Sun,November 21,boxscore,Philadelphia Eagles,,Washington Redskins,28,6,333,2,213,1
11,Sun,November 21,boxscore,New York Jets,@,Cleveland Browns,10,7,235,1,216,1
11,Sun,November 21,boxscore,Tennessee Titans,@,Jacksonville Jaguars,18,15,295,2,274,2
11,Sun,November 21,boxscore,Pittsburgh Steelers,@,Cincinnati Bengals,19,14,235,1,209,1
11,Sun,November 21,boxscore,Buffalo Bills,,St. Louis Rams,37,17,294,1,270,4
11,Sun,November 21,boxscore,San Diego Chargers,@,Oakland Raiders,23,17,402,1,273,1
11,Sun,November 21,boxscore,Seattle Seahawks,,Miami Dolphins,24,17,293,3,288,4
11,Sun,November 21,boxscore,Green Bay Packers,@,Houston Texans,16,13,473,2,251,0
11,Sun,November 21,boxscore,Minnesota Vikings,,Detroit Lions,22,19,319,1,213,1
11,Sun,November 21,boxscore,Denver Broncos,@,New Orleans Saints,34,13,389,0,411,4
11,Sun,November 21,boxscore,Baltimore Ravens,,Dallas Cowboys,30,10,287,2,222,3
11,Sun,November 21,boxscore,Carolina Panthers,,Arizona Cardinals,35,10,317,1,399,4
11,Sun,November 21,boxscore,Indianapolis Colts,@,Chicago Bears,41,10,486,1,224,5
11,Sun,November 21,boxscore,Atlanta Falcons,@,New York Giants,14,10,298,0,277,2
11,Sun,November 21,boxscore,Tampa Bay Buccaneers,,San Francisco 49ers,35,3,352,2,197,2
11,Mon,November 22,boxscore,New England Patriots,@,Kansas City Chiefs,27,19,407,1,417,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
12,Thu,November 25,boxscore,Dallas Cowboys,,Chicago Bears,21,7,267,2,140,4
12,Thu,November 25,boxscore,Indianapolis Colts,@,Detroit Lions,41,9,356,0,386,5
12,Sun,November 28,boxscore,Pittsburgh Steelers,,Washington Redskins,16,7,207,0,156,1
12,Sun,November 28,boxscore,Carolina Panthers,,Tampa Bay Buccaneers,21,14,300,1,398,3
12,Sun,November 28,boxscore,San Diego Chargers,@,Kansas City Chiefs,34,31,498,0,310,2
12,Sun,November 28,boxscore,New England Patriots,,Baltimore Ravens,24,3,314,0,124,2
12,Sun,November 28,boxscore,Oakland Raiders,@,Denver Broncos,25,24,395,3,367,3
12,Sun,November 28,boxscore,Philadelphia Eagles,@,New York Giants,27,6,390,1,272,2
12,Sun,November 28,boxscore,Houston Texans,,Tennessee Titans,31,21,328,1,355,3
12,Sun,November 28,boxscore,New York Jets,@,Arizona Cardinals,13,3,325,0,245,4
12,Sun,November 28,boxscore,Buffalo Bills,@,Seattle Seahawks,38,9,434,3,230,2
12,Sun,November 28,boxscore,Cincinnati Bengals,,Cleveland Browns,58,48,504,3,462,2
12,Sun,November 28,boxscore,Minnesota Vikings,,Jacksonville Jaguars,27,16,330,2,379,2
12,Sun,November 28,boxscore,Miami Dolphins,@,San Francisco 49ers,24,17,200,2,224,3
12,Sun,November 28,boxscore,Atlanta Falcons,,New Orleans Saints,24,21,396,2,306,2
12,Mon,November 29,boxscore,Green Bay Packers,,St. Louis Rams,45,17,446,0,452,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
13,Sun,December 5,boxscore,Kansas City Chiefs,@,Oakland Raiders,34,27,500,1,364,0
13,Sun,December 5,boxscore,Chicago Bears,,Minnesota Vikings,24,14,318,1,391,4
13,Sun,December 5,boxscore,New England Patriots,@,Cleveland Browns,42,15,412,3,287,4
13,Sun,December 5,boxscore,Washington Redskins,,New York Giants,31,7,379,0,145,0
13,Sun,December 5,boxscore,Indianapolis Colts,,Tennessee Titans,51,24,567,3,340,2
13,Sun,December 5,boxscore,Pittsburgh Steelers,@,Jacksonville Jaguars,17,16,316,0,359,0
13,Sun,December 5,boxscore,St. Louis Rams,,San Francisco 49ers,16,6,350,2,160,1
13,Sun,December 5,boxscore,New York Jets,,Houston Texans,29,7,360,1,230,2
13,Sun,December 5,boxscore,Philadelphia Eagles,,Green Bay Packers,47,17,542,1,249,2
13,Sun,December 5,boxscore,Tampa Bay Buccaneers,,Atlanta Falcons,27,0,247,1,255,5
13,Sun,December 5,boxscore,Buffalo Bills,@,Miami Dolphins,42,32,362,1,403,7
