Year,Week,Day,Date,Winner,At,Loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Home,Away,WeekLabel,GameID
2001,10,Sun,2001-11-18,CHI,@,TAM,27,24,274,1,414,4,TAM,CHI,10,TAM-CHI-2001-10
2001,10,Sun,2001-11-18,SEA,@,BUF,23,20,246,0,372,2,BUF,SEA,10,BUF-SEA-2001-10
2001,10,Sun,2001-11-18,OAK,,SDG,34,24,381,1,250,2,OAK,SDG,10,OAK-SDG-2001-10
2001,10,Sun,2001-11-18,PHI,@,DAL,36,3,227,1,213,4,DAL,PHI,10,DAL-PHI-2001-10
2001,10,Sun,2001-11-18,TEN,@,CIN,20,7,293,2,264,3,CIN,TEN,10,CIN-TEN-2001-10
2001,10,Sun,2001-11-18,NYJ,@,MIA,24,0,162,0,254,5,MIA,NYJ,10,MIA-NYJ-2001-10
2001,10,Sun,2001-11-18,ATL,@,GNB,23,20,417,2,313,4,GNB,ATL,10,GNB-ATL-2001-10
2001,10,Sun,2001-11-18,PIT,,JAC,20,7,402,0,234,3,PIT,JAC,10,PIT-JAC-2001-10
2001,10,Sun,2001-11-18,ARI,,DET,45,38,417,1,478,3,ARI,DET,10,ARI-DET-2001-10
2001,10,Sun,2001-11-18,NOR,,IND,34,20,378,0,339,1,NOR,IND,10,NOR-IND-2001-10
2001,10,Sun,2001-11-18,CLE,@,BAL,27,17,232,3,350,5,BAL,CLE,10,BAL-CLE-2001-10
2001,10,Sun,2001-11-18,WAS,@,DEN,17,10,245,3,186,2,DEN,WAS,10,DEN-WAS-2001-10
2001,10,Sun,2001-11-18,SFO,@,CAR,25,22,417,3,280,0,CAR,SFO,10,CAR-SFO-2001-10
2001,10,Sun,2001-11-18,LAR,@,NWE,24,17,482,3,230,3,NWE,LAR,10,NWE-LAR-2001-10
2001,10,Mon,2001-11-19,MIN,,NYG,28,16,359,3,358,2,MIN,NYG,10,MIN-NYG-2001-10
2001,11,Thu,2001-11-22,DEN,@,DAL,26,24,279,1,191,2,DAL,DEN,11,DAL-DEN-2001-11
2001,11,Thu,2001-11-22,GNB,@,DET,29,27,339,2,360,2,DET,GNB,11,DET-GNB-2001-11
2001,11,Sun,2001-11-25,WAS,@,PHI,13,3,240,0,186,0,PHI,WAS,11,PHI-WAS-2001-11
2001,11,Sun,2001-11-25,SFO,@,IND,40,21,340,1,491,5,IND,SFO,11,IND-SFO-2001-11
2001,11,Sun,2001-11-25,KAN,,SEA,19,7,433,0,204,0,KAN,SEA,11,KAN-SEA-2001-11
2001,11,Sun,2001-11-25,BAL,@,JAC,24,21,361,2,305,0,JAC,BAL,11,JAC-BAL-2001-11
2001,11,Sun,2001-11-25,PIT,@,TEN,34,24,377,0,405,2,TEN,PIT,11,TEN-PIT-2001-11
2001,11,Sun,2001-11-25,NWE,,NOR,34,17,432,0,428,2,NWE,NOR,11,NWE-NOR-2001-11
2001,11,Sun,2001-11-25,MIA,@,BUF,34,27,362,1,422,3,BUF,MIA,11,BUF-MIA-2001-11
2001,11,Sun,2001-11-25,ATL,@,CAR,10,7,239,0,247,2,CAR,ATL,11,CAR-ATL-2001-11
2001,11,Sun,2001-11-25,CHI,@,MIN,13,6,235,1,316,1,MIN,CHI,11,MIN-CHI-2001-11
2001,11,Sun,2001-11-25,CLE,,CIN,18,0,249,3,191,7,CLE,CIN,11,CLE-CIN-2001-11
2001,11,Sun,2001-11-25,ARI,@,SDG,20,17,298,2,392,1,SDG,ARI,11,SDG-ARI-2001-11
2001,11,Sun,2001-11-25,OAK,@,NYG,28,10,339,0,313,0,NYG,OAK,11,NYG-OAK-2001-11
2001,11,Mon,2001-11-26,TAM,@,LAR,24,17,264,1,345,6,LAR,TAM,11,LAR-TAM-2001-11
2001,12,Thu,2001-11-29,PHI,@,KAN,23,10,378,1,291,3,KAN,PHI,12,KAN-PHI-2001-12
2001,12,Sun,2001-12-02,DAL,@,WAS,20,14,337,1,277,1,WAS,DAL,12,WAS-DAL-2001-12
2001,12,Sun,2001-12-02,LAR,@,ATL,35,6,422,0,320,2,ATL,LAR,12,ATL-LAR-2001-12
2001,12,Sun,2001-12-02,TEN,@,CLE,31,15,383,0,282,3,CLE,TEN,12,CLE-TEN-2001-12
2001,12,Sun,2001-12-02,PIT,,MIN,21,16,364,2,385,3,PIT,MIN,12,PIT-MIN-2001-12
2001,12,Sun,2001-12-02,TAM,@,CIN,16,13,264,1,201,2,CIN,TAM,12,CIN-TAM-2001-12
2001,12,Sun,2001-12-02,CHI,,DET,13,10,232,1,295,1,CHI,DET,12,CHI-DET-2001-12
2001,12,Sun,2001-12-02,SFO,,BUF,35,0,409,0,191,5,SFO,BUF,12,SFO-BUF-2001-12
2001,12,Sun,2001-12-02,BAL,,IND,39,27,398,4,314,4,BAL,IND,12,BAL-IND-2001-12
2001,12,Sun,2001-12-02,ARI,@,OAK,34,31,390,1,436,3,OAK,ARI,12,OAK-ARI-2001-12
2001,12,Sun,2001-12-02,NWE,@,NYJ,17,16,264,0,288,2,NYJ,NWE,12,NYJ-NWE-2001-12
2001,12,Sun,2001-12-02,NOR,,CAR,27,23,432,2,150,1,NOR,CAR,12,NOR-CAR-2001-12
2001,12,Sun,2001-12-02,SEA,,SDG,13,10,309,0,292,3,SEA,SDG,12,SEA-SDG-2001-12
2001,12,Sun,2001-12-02,MIA,,DEN,21,10,218,1,273,2,MIA,DEN,12,MIA-DEN-2001-12
2001,12,Mon,2001-12-03,GNB,@,JAC,28,21,389,1,348,4,JAC,GNB,12,JAC-GNB-2001-12
2001,13,Sun,2001-12-09,PIT,,NYJ,18,7,345,0,220,0,PIT,NYJ,13,PIT-NYJ-2001-13
2001,13,Sun,2001-12-09,MIN,,TEN,42,24,496,1,453,2,MIN,TEN,13,MIN-TEN-2001-13
