Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Matthew Stafford,DET,QB,@GB,L 27-34,26.9/40.9,306.8,1.6,1.1,2.4,7.5,0.1,0.0,0.0,0.0,,,,,,16.6
Carson Palmer,ARI,QB,@Buf,L 18-33,22.8/36.1,285.5,1.9,1.2,1.5,3.2,0.1,0.0,0.0,0.0,,,,,,16.5
Ryan Fitzpatrick,NYJ,QB,@KC,L 3-24,22.5/36.7,256.5,1.7,1.2,3.9,17.8,0.1,0.0,0.0,0.0,,,,,,16.0
Dak Prescott,DAL,QB,Chi,W 31-17,20.2/31.6,234.7,1.8,0.8,2.0,10.2,0.1,0.0,0.0,0.0,,,,,,16.0
Derek Carr,OAK,QB,@Ten,W 17-10,22/35.4,256.0,1.8,0.7,2.0,5.8,0.1,0.0,0.0,0.0,,,,,,15.9
Alex Smith,KAN,QB,NYJ,W 24-3,21.4/32.2,235.8,1.3,0.6,4.4,23.5,0.2,0.0,0.0,0.0,,,,,,15.7
Tyrod Taylor,BUF,QB,Ari,W 33-18,18.9/31.5,207.2,1.4,1.0,6.8,35.0,0.2,0.0,0.0,0.0,,,,,,15.6
Marcus Mariota,TEN,QB,Oak,L 10-17,21/32,243.7,1.5,1.0,4.6,25.4,0.2,0.0,0.0,0.0,,,,,,15.3
Kirk Cousins,WAS,QB,@NYG,W 29-27,26.8/41.2,294.2,1.7,1.1,1.9,5.6,0.1,0.0,0.0,0.0,,,,,,15.3
Jameis Winston,TAM,QB,LA,L 32-37,18.7/32.6,212.7,1.6,0.7,4.0,16.0,0.2,0.0,0.0,0.0,,,,,,14.9
Brock Osweiler,HOU,QB,@NE,L 0-27,23/37.7,275.5,1.5,1.1,3.0,5.8,0.1,0.0,0.0,0.0,,,,,,14.7
Joe Flacco,BAL,QB,@Jax,W 19-17,23.4/37.8,271.0,1.6,1.1,1.7,2.4,0.1,0.0,0.0,0.0,,,,,,14.5
Carson Wentz,PHI,QB,Pit,W 34-3,22.8/37.3,262.9,1.4,1.2,2.8,10.7,0.1,0.0,0.0,0.0,,,,,,14.4
Brian Hoyer,CHI,QB,@Dal,L 17-31,21.9/35.4,270.4,1.5,0.8,1.9,3.0,0.1,0.0,0.0,0.0,,,,,,14.4
Andy Dalton,CIN,QB,Den,L 17-29,20/33.1,205.8,1.4,0.9,3.9,12.9,0.1,0.0,0.0,0.0,,,,,,13.5
Jacoby Brissett,NWE,QB,Hou,W 27-0,19.8/34.9,199.1,1.7,1.5,3.4,16.3,0.1,0.0,0.0,0.0,,,,,,12.2
Cody Kessler,CLE,QB,@Mia,L 24-30,18.8/32.8,228.4,1.2,1.0,2.4,9.9,0.1,0.0,0.0,0.0,,,,,,12.0
Blaine Gabbert,SFO,QB,@Sea,L 18-37,22.4/38.4,236.3,1.0,1.3,4.3,13.5,0.1,0.0,0.0,0.0,,,,,,11.4
Sam Bradford,MIN,QB,@Car,W 22-10,22/35.5,226.6,1.1,1.0,1.9,4.5,0.1,0.0,0.0,0.0,,,,,,11.3
Case Keenum,LAR,QB,@TB,W 37-32,19.3/31.7,225.5,0.8,1.1,2.5,6.4,0.1,0.0,0.0,0.0,,,,,,10.1
Trevor Siemian,DEN,QB,@Cin,W 29-17,19.1/33.3,193.4,1.1,1.5,3.4,14.1,0.1,0.0,0.0,0.0,,,,,,9.7
Chad Henne,JAC,QB,Bal,L 17-19,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Scott Tolzien,IND,QB,SD,W 26-22,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brett Hundley,GNB,QB,Det,W 34-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Trevone Boykin,SEA,QB,SF,W 37-18,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Nassib,NYG,QB,Wsh,L 27-29,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mark Sanchez,DAL,QB,Chi,W 31-17,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mike Glennon,TAM,QB,LA,L 32-37,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Derek Anderson,CAR,QB,Min,L 10-22,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Drew Stanton,ARI,QB,@Buf,L 18-33,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kellen Clemens,SDG,QB,@Ind,L 22-26,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt McGloin,OAK,QB,@Ten,W 17-10,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Landry Jones,PIT,QB,@Phi,L 3-34,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Schaub,ATL,QB,@NO,W 45-32,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Moore,MIA,QB,Cle,W 30-24,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Luke McCown,NOR,QB,Atl,L 32-45,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Barkley,CHI,QB,@Dal,L 17-31,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Geno Smith,NYJ,QB,@KC,L 3-24,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Mallett,BAL,QB,@Jax,W 19-17,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EJ Manuel,BUF,QB,Ari,W 33-18,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chase Daniel,PHI,QB,Pit,W 34-3,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Cassel,TEN,QB,Oak,L 10-17,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Charlie Whitehurst,CLE,QB,@Mia,L 24-30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tom Savage,HOU,QB,@NE,L 0-27,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
AJ McCarron,CIN,QB,Den,L 17-29,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Colt McCoy,WAS,QB,@NYG,W 29-27,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Nick Foles,KAN,QB,NYJ,W 24-3,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Paxton Lynch,DEN,QB,@Cin,W 29-17,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Colin Kaepernick,SFO,QB,@Sea,L 18-37,0.1/0.2,1.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,0.0
Dan Orlovsky,DET,QB,@GB,L 27-34,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Shaun Hill,MIN,QB,@Car,W 22-10,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tom Brady,NWE,QB,Hou,W 27-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mike Vick,PIT,QB,@Phi,L 3-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh McCown,CLE,QB,@Mia,L 24-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tony Romo,DAL,QB,Chi,W 31-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jay Cutler,CHI,QB,@Dal,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tarvaris Jackson,SEA,QB,SF,W 37-18,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Bruce Gradkowski,PIT,QB,@Phi,L 3-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh Javon Johnson,NYG,QB,Wsh,L 27-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Flynn,NOR,QB,Atl,L 32-45,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh Freeman,IND,QB,SD,W 26-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jimmy Clausen,BAL,QB,@Jax,W 19-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tim Tebow,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Dan LeFevour,TAM,QB,LA,L 32-37,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Webb,CAR,QB,Min,L 10-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Thaddeus Lewis,SFO,QB,@Sea,L 18-37,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Christian Ponder,SFO,QB,@Sea,L 18-37,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
T.J. Yates,HOU,QB,@NE,L 0-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jerrod Johnson,DAL,QB,Chi,W 31-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Robert Griffin III,CLE,QB,@Mia,L 24-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Weeden,HOU,QB,@NE,L 0-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kellen Moore,DAL,QB,Chi,W 31-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Lindley,IND,QB,SD,W 26-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Austin Davis,DEN,QB,@Cin,W 29-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Simms,ATL,QB,@NO,W 45-32,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Alex Tanney,TEN,QB,Oak,L 10-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sean Renfree,ATL,QB,@NO,W 45-32,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Zac Dysert,ARI,QB,@Buf,L 18-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Griffin,TAM,QB,LA,L 32-37,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tyler Bray,KAN,QB,NYJ,W 24-3,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Teddy Bridgewater,MIN,QB,@Car,W 22-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Johnny Manziel,CLE,QB,@Mia,L 24-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jimmy Garoppolo,NWE,QB,Hou,W 27-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tajh Boyd,PIT,QB,@Phi,L 3-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Logan Thomas,NYG,QB,Wsh,L 27-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Zach Mettenberger,PIT,QB,@Phi,L 3-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
David Fales,CHI,QB,@Dal,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Keith Wenning,CIN,QB,Den,L 17-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Aaron Murray,KAN,QB,NYJ,W 24-3,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Blanchard,CHI,QB,@Dal,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dustin Vaughan,PIT,QB,@Phi,L 3-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Connor Shaw,CHI,QB,@Dal,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Bryce Petty,NYJ,QB,@KC,L 3-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dylan Thompson,LAR,QB,@TB,W 37-32,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sean Mannion,LAR,QB,@TB,W 37-32,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Garrett Grayson,NOR,QB,Atl,L 32-45,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Christian Hackenberg,NYJ,QB,@KC,L 3-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Connor Cook,OAK,QB,@Ten,W 17-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Cardale Jones,BUF,QB,Ari,W 33-18,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kevin Hogan,KAN,QB,NYJ,W 24-3,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Nate Sudfeld,WAS,QB,@NYG,W 29-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jake Rudock,DET,QB,@GB,L 27-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Allen,JAC,QB,Bal,L 17-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jeff Driskel,CIN,QB,Den,L 17-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Doughty,MIA,QB,Cle,W 30-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Taylor Heinicke,MIN,QB,@Car,W 22-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Stephen Morris,IND,QB,SD,W 26-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Callahan,GNB,QB,Det,W 34-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jared Goff,LAR,QB,@TB,W 37-32,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0
DeAngelo Williams,PIT,RB,@Phi,L 3-34,0/0,0.0,0.0,0.0,20.9,100.6,0.5,4.4,39.9,0.2,,,,,,16.8
David Johnson,ARI,RB,@Buf,L 18-33,0/0,0.0,0.0,0.0,16.4,70.3,0.6,3.6,35.1,0.2,,,,,,14.5
Todd Gurley,LAR,RB,@TB,W 37-32,0/0,0.0,0.0,0.0,18.4,73.4,0.7,2.5,20.8,0.1,,,,,,13.6
Matt Forte,NYJ,RB,@KC,L 3-24,0/0,0.0,0.0,0.0,17.6,71.8,0.4,3.9,31.3,0.1,,,,,,12.9
C.J. Anderson,DEN,RB,@Cin,W 29-17,0/0,0.0,0.0,0.0,17.6,80.3,0.5,2.8,19.3,0.1,,,,,,12.5
LeSean McCoy,BUF,RB,Ari,W 33-18,0/0,0.0,0.0,0.0,16.7,71.3,0.5,3.4,24.6,0.1,,,,,,12.5
Christine Michael,SEA,RB,SF,W 37-18,0/0,0.0,0.0,0.0,19.5,82.4,0.5,2.3,18.4,0.1,,,,,,12.3
Ezekiel Elliott,DAL,RB,Chi,W 31-17,0/0,0.0,0.0,0.0,18.3,74.5,0.6,1.7,14.0,0.1,,,,,,12.0
Lamar Miller,HOU,RB,@NE,L 0-27,0/0,0.0,0.0,0.0,18.1,76.0,0.4,2.9,21.0,0.1,,,,,,11.9
Mark Ingram,NOR,RB,Atl,L 32-45,0/0,0.0,0.0,0.0,15.1,68.2,0.5,2.9,20.6,0.1,,,,,,11.8
DeMarco Murray,TEN,RB,Oak,L 10-17,0/0,0.0,0.0,0.0,14.7,64.7,0.5,3.3,26.2,0.1,,,,,,11.4
Frank Gore,IND,RB,SD,W 26-22,0/0,0.0,0.0,0.0,15.2,67.6,0.4,2.7,23.6,0.1,,,,,,11.2
Eddie Lacy,GNB,RB,Det,W 34-27,0/0,0.0,0.0,0.0,15.7,71.9,0.5,1.8,14.7,0.1,,,,,,11.1
Charles Sims,TAM,RB,LA,L 32-37,0/0,0.0,0.0,0.0,16.9,66.0,0.4,3.0,26.3,0.1,,,,,,10.9
Melvin Gordon,SDG,RB,@Ind,L 22-26,0/0,0.0,0.0,0.0,16.6,69.1,0.4,3.8,28.2,0.1,,,,,,10.5
Devonta Freeman,ATL,RB,@NO,W 45-32,0/0,0.0,0.0,0.0,12.6,56.2,0.5,3.0,26.9,0.1,,,,,,10.5
Spencer Ware,KAN,RB,NYJ,W 24-3,0/0,0.0,0.0,0.0,14.4,59.3,0.6,2.5,20.0,0.1,,,,,,10.1
Shane Vereen,NYG,RB,Wsh,L 27-29,0/0,0.0,0.0,0.0,12.2,53.9,0.3,3.1,27.1,0.2,,,,,,9.9
Isaiah Crowell,CLE,RB,@Mia,L 24-30,0/0,0.0,0.0,0.0,17.5,74.4,0.4,1.2,9.1,0.0,,,,,,9.6
Jeremy Langford,CHI,RB,@Dal,L 17-31,0/0,0.0,0.0,0.0,13.9,56.9,0.4,2.2,21.2,0.1,,,,,,9.5
LeGarrette Blount,NWE,RB,Hou,W 27-0,0/0,0.0,0.0,0.0,18.4,79.3,0.4,0.2,1.5,0.0,,,,,,9.3
Latavius Murray,OAK,RB,@Ten,W 17-10,0/0,0.0,0.0,0.0,13.6,58.0,0.4,2.4,18.1,0.1,,,,,,8.8
Tevin Coleman,ATL,RB,@NO,W 45-32,0/0,0.0,0.0,0.0,9.4,43.1,0.4,3.4,29.5,0.1,,,,,,8.8
Orleans Darkwa,NYG,RB,Wsh,L 27-29,0/0,0.0,0.0,0.0,12.5,54.0,0.3,1.6,11.9,0.1,,,,,,8.3
Justin Forsett,BAL,RB,@Jax,W 19-17,0/0,0.0,0.0,0.0,12.1,52.2,0.3,2.2,15.3,0.1,,,,,,8.3
Theo Riddick,DET,RB,@GB,L 27-34,0/0,0.0,0.0,0.0,9.2,34.6,0.2,4.3,35.9,0.2,,,,,,8.1
Jerick McKinnon,MIN,RB,@Car,W 22-10,0/0,0.0,0.0,0.0,11.6,50.7,0.3,2.6,17.4,0.1,,,,,,7.9
Jay Ajayi,MIA,RB,Cle,W 30-24,0/0,0.0,0.0,0.0,10.1,44.5,0.4,1.5,11.5,0.1,,,,,,7.8
Matt Jones,WAS,RB,@NYG,W 29-27,0/0,0.0,0.0,0.0,13.3,51.8,0.3,1.2,10.9,0.0,,,,,,7.7
Jeremy Hill,CIN,RB,Den,L 17-29,0/0,0.0,0.0,0.0,14.5,53.0,0.4,1.2,7.1,0.0,,,,,,7.5
T.J. Yeldon,JAC,RB,Bal,L 17-19,0/0,0.0,0.0,0.0,11.4,44.6,0.3,2.4,17.4,0.1,,,,,,7.3
Jordan Howard,CHI,RB,@Dal,L 17-31,0/0,0.0,0.0,0.0,10.5,43.0,0.3,1.8,13.4,0.1,,,,,,7.2
Terrance West,BAL,RB,@Jax,W 19-17,0/0,0.0,0.0,0.0,11.6,44.7,0.4,1.9,14.7,0.1,,,,,,7.2
Carlos Hyde,SFO,RB,@Sea,L 18-37,0/0,0.0,0.0,0.0,13.7,45.7,0.3,2.4,15.3,0.1,,,,,,7.1
Kenyan Drake,MIA,RB,Cle,W 30-24,0/0,0.0,0.0,0.0,9.3,40.1,0.3,2.1,19.3,0.1,,,,,,7.0
Darren Sproles,PHI,RB,Pit,W 34-3,0/0,0.0,0.0,0.0,6.2,26.4,0.2,3.6,30.0,0.1,,,,,,7.0
Giovani Bernard,CIN,RB,Den,L 17-29,0/0,0.0,0.0,0.0,8.3,32.3,0.2,3.3,22.3,0.1,,,,,,6.5
Derrick Henry,TEN,RB,Oak,L 10-17,0/0,0.0,0.0,0.0,8.3,33.1,0.3,1.4,12.2,0.1,,,,,,6.2
Ryan Mathews,PHI,RB,Pit,W 34-3,0/0,0.0,0.0,0.0,10.7,45.2,0.4,1.1,8.0,0.0,,,,,,6.0
Cameron Artis-Payne,CAR,RB,Min,L 10-22,0/0,0.0,0.0,0.0,11.1,46.0,0.3,0.7,4.7,0.0,,,,,,5.8
Duke Johnson Jr.,CLE,RB,@Mia,L 24-30,0/0,0.0,0.0,0.0,5.8,24.2,0.1,3.4,27.8,0.1,,,,,,5.3
Matt Asiata,MIN,RB,@Car,W 22-10,0/0,0.0,0.0,0.0,7.5,27.6,0.3,2.4,15.5,0.1,,,,,,5.3
Chris Thompson,WAS,RB,@NYG,W 29-27,0/0,0.0,0.0,0.0,4.8,20.9,0.1,2.9,23.7,0.1,,,,,,5.1
Charcandrick West,KAN,RB,NYJ,W 24-3,0/0,0.0,0.0,0.0,6.8,25.3,0.3,2.2,16.9,0.1,,,,,,5.1
Alex Collins,SEA,RB,SF,W 37-18,0/0,0.0,0.0,0.0,8.5,32.3,0.3,1.1,8.6,0.0,,,,,,5.0
Chris Ivory,JAC,RB,Bal,L 17-19,0/0,0.0,0.0,0.0,8.3,35.2,0.3,1.3,8.9,0.1,,,,,,4.9
Dwayne Washington,DET,RB,@GB,L 27-34,0/0,0.0,0.0,0.0,7.2,27.2,0.2,1.5,10.3,0.0,,,,,,4.6
Fozzy Whittaker,CAR,RB,Min,L 10-22,0/0,0.0,0.0,0.0,8.9,37.5,0.2,1.4,9.7,0.1,,,,,,4.6
Alfred Morris,DAL,RB,Chi,W 31-17,0/0,0.0,0.0,0.0,7.7,31.5,0.2,0.5,3.5,0.0,,,,,,4.4
Jacquizz Rodgers,TAM,RB,LA,L 32-37,0/0,0.0,0.0,0.0,7.1,26.4,0.2,1.7,11.2,0.1,,,,,,4.4
James Starks,GNB,RB,Det,W 34-27,0/0,0.0,0.0,0.0,8.0,35.3,0.2,1.0,8.0,0.0,,,,,,4.3
James White,NWE,RB,Hou,W 27-0,0/0,0.0,0.0,0.0,3.6,14.7,0.1,3.3,26.5,0.1,,,,,,4.2
Bilal Powell,NYJ,RB,@KC,L 3-24,0/0,0.0,0.0,0.0,5.8,23.9,0.1,1.8,13.4,0.1,,,,,,3.9
Tim Hightower,NOR,RB,Atl,L 32-45,0/0,0.0,0.0,0.0,5.3,22.2,0.2,0.6,4.6,0.0,,,,,,3.3
Devontae Booker,DEN,RB,@Cin,W 29-17,0/0,0.0,0.0,0.0,6.4,27.5,0.2,0.4,2.8,0.0,,,,,,3.0
Travaris Cadet,NOR,RB,Atl,L 32-45,0/0,0.0,0.0,0.0,1.5,6.5,0.1,2.8,23.5,0.1,,,,,,3.0
Chris Johnson,ARI,RB,@Buf,L 18-33,0/0,0.0,0.0,0.0,5.5,23.8,0.2,0.3,2.0,0.0,,,,,,2.9
Shaun Draughn,SFO,RB,@Sea,L 18-37,0/0,0.0,0.0,0.0,6.2,19.5,0.1,2.2,14.3,0.0,,,,,,2.8
DeAndre Washington,OAK,RB,@Ten,W 17-10,0/0,0.0,0.0,0.0,5.4,22.0,0.1,0.8,6.0,0.0,,,,,,2.8
Dexter McCluster,SDG,RB,@Ind,L 22-26,0/0,0.0,0.0,0.0,2.6,11.7,0.1,1.8,17.2,0.1,,,,,,2.8
Mike Tolbert,CAR,RB,Min,L 10-22,0/0,0.0,0.0,0.0,3.7,14.3,0.1,0.9,7.1,0.1,,,,,,2.1
