Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Jimmy Garoppolo,NWE,QB,@Ari,W 23-21,23.5/38,249.8,1.6,1.0,3.8,14.5,0.1,0.0,0.0,0.0,,,,,,14.8
Andy Dalton,CIN,QB,@NYJ,W 23-22,20.3/32.5,229.9,1.4,1.0,3.9,12.9,0.1,0.0,0.0,0.0,,,,,,14.5
Ryan Fitzpatrick,NYJ,QB,Cin,L 22-23,22.1/37.1,234.7,1.6,1.2,3.9,17.7,0.1,0.0,0.0,0.0,,,,,,14.5
Jameis Winston,TAM,QB,@Atl,W 31-24,20.5/34.6,245.5,1.5,1.1,3.8,16.8,0.2,0.0,0.0,0.0,,,,,,14.4
Blake Bortles,JAC,QB,GB,L 23-27,20.7/36.8,244.7,1.7,1.2,3.1,16.3,0.1,0.0,0.0,0.0,,,,,,14.4
Robert Griffin III,CLE,QB,@Phi,L 10-29,20.8/32.6,245.7,1.2,0.8,4.7,28.8,0.1,0.0,0.0,0.0,,,,,,13.9
Joe Flacco,BAL,QB,Buf,W 13-7,22.3/37.7,238.0,1.6,1.1,1.7,3.2,0.1,0.0,0.0,0.0,,,,,,13.5
Marcus Mariota,TEN,QB,Min,L 16-25,19/29.5,216.0,1.2,0.8,4.4,22.7,0.2,0.0,0.0,0.0,,,,,,13.4
Blaine Gabbert,SFO,QB,LA,W 28-0,20.8/34.5,235.9,1.2,1.0,3.6,12.1,0.1,0.0,0.0,0.0,,,,,,13.1
Shaun Hill,MIN,QB,@Ten,W 25-16,19.3/30.6,228.2,1.1,0.7,2.4,9.6,0.1,0.0,0.0,0.0,,,,,,12.2
Jay Cutler,CHI,QB,@Hou,L 14-23,21.6/33.8,236.7,1.2,1.0,2.5,8.4,0.0,0.0,0.0,0.0,,,,,,11.7
Ryan Tannehill,MIA,QB,@Sea,L 10-12,24.1/40,246.8,1.1,0.9,1.9,6.4,0.0,0.0,0.0,0.0,,,,,,11.3
Case Keenum,LAR,QB,@SF,L 0-28,18.7/31.6,219.0,0.9,0.6,2.7,9.0,0.1,0.0,0.0,0.0,,,,,,10.6
Trevor Siemian,DEN,QB,Car,W 21-20,19.3/35.7,202.7,1.2,1.6,2.3,8.8,0.1,0.0,0.0,0.0,,,,,,9.7
Scott Tolzien,IND,QB,Det,L 35-39,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Trevone Boykin,SEA,QB,Mia,W 12-10,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt McGloin,OAK,QB,@NO,W 35-34,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chase Daniel,PHI,QB,Cle,W 29-10,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Nassib,NYG,QB,@Dal,W 20-19,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Drew Stanton,ARI,QB,NE,L 21-23,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brett Hundley,GNB,QB,@Jax,W 27-23,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EJ Manuel,BUF,QB,@Bal,L 7-13,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Webb,CAR,QB,@Den,L 20-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Colt McCoy,WAS,QB,Pit,L 16-38,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Landry Jones,PIT,QB,@Wsh,W 38-16,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,0.0
Mark Sanchez,DAL,QB,NYG,L 19-20,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Luke McCown,NOR,QB,Oak,L 34-35,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tom Savage,HOU,QB,Chi,W 23-14,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dan Orlovsky,DET,QB,@Ind,W 39-35,0.1/0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Nick Foles,KAN,QB,SD,W 33-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jacoby Brissett,NWE,QB,@Ari,W 23-21,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Derek Anderson,CAR,QB,@Den,L 20-21,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Colin Kaepernick,SFO,QB,LA,W 28-0,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Mallett,BAL,QB,Buf,W 13-7,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sam Bradford,MIN,QB,@Ten,W 25-16,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mike Glennon,TAM,QB,@Atl,W 31-24,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Geno Smith,NYJ,QB,Cin,L 22-23,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Schaub,ATL,QB,TB,L 24-31,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
AJ McCarron,CIN,QB,@NYJ,W 23-22,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh McCown,CLE,QB,@Phi,L 10-29,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Cassel,TEN,QB,Min,L 16-25,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Paxton Lynch,DEN,QB,Car,W 21-20,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kellen Clemens,SDG,QB,@KC,L 27-33,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sean Mannion,LAR,QB,@SF,L 0-28,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brian Hoyer,CHI,QB,@Hou,L 14-23,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Moore,MIA,QB,@Sea,L 10-12,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tom Brady,NWE,QB,@Ari,W 23-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mike Vick,PIT,QB,@Wsh,W 38-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tony Romo,DAL,QB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tarvaris Jackson,SEA,QB,Mia,W 12-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Charlie Whitehurst,CLE,QB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Bruce Gradkowski,PIT,QB,@Wsh,W 38-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh Javon Johnson,NYG,QB,@Dal,W 20-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Flynn,NOR,QB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh Freeman,IND,QB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jimmy Clausen,BAL,QB,Buf,W 13-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tim Tebow,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Dan LeFevour,TAM,QB,@Atl,W 31-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Thaddeus Lewis,SFO,QB,LA,W 28-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Christian Ponder,SFO,QB,LA,W 28-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
T.J. Yates,HOU,QB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jerrod Johnson,DAL,QB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Weeden,HOU,QB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kellen Moore,DAL,QB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Lindley,IND,QB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Austin Davis,DEN,QB,Car,W 21-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Simms,ATL,QB,TB,L 24-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Alex Tanney,TEN,QB,Min,L 16-25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sean Renfree,ATL,QB,TB,L 24-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Zac Dysert,ARI,QB,NE,L 21-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Barkley,CHI,QB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Griffin,TAM,QB,@Atl,W 31-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tyler Bray,KAN,QB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Teddy Bridgewater,MIN,QB,@Ten,W 25-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Johnny Manziel,CLE,QB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tajh Boyd,PIT,QB,@Wsh,W 38-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Logan Thomas,NYG,QB,@Dal,W 20-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Zach Mettenberger,PIT,QB,@Wsh,W 38-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
David Fales,CHI,QB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Keith Wenning,CIN,QB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Aaron Murray,KAN,QB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Blanchard,CHI,QB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dustin Vaughan,PIT,QB,@Wsh,W 38-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Connor Shaw,CHI,QB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Bryce Petty,NYJ,QB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dylan Thompson,LAR,QB,@SF,L 0-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Garrett Grayson,NOR,QB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jared Goff,LAR,QB,@SF,L 0-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Christian Hackenberg,NYJ,QB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Cody Kessler,CLE,QB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Connor Cook,OAK,QB,@NO,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Cardale Jones,BUF,QB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kevin Hogan,KAN,QB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Nate Sudfeld,WAS,QB,Pit,L 16-38,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jake Rudock,DET,QB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Allen,JAC,QB,GB,L 23-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jeff Driskel,CIN,QB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Doughty,MIA,QB,@Sea,L 10-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Taylor Heinicke,MIN,QB,@Ten,W 25-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Stephen Morris,IND,QB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Callahan,GNB,QB,@Jax,W 27-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chad Henne,JAC,QB,GB,L 23-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0
Todd Gurley,LAR,RB,@SF,L 0-28,0/0,0.0,0.0,0.0,20.6,91.7,0.8,2.5,21.1,0.1,,,,,,15.7
Adrian Peterson,MIN,RB,@Ten,W 25-16,0/0,0.0,0.0,0.0,20.0,91.4,0.7,1.9,15.5,0.0,,,,,,14.0
Lamar Miller,HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,18.7,82.0,0.5,2.6,20.5,0.1,,,,,,13.6
DeAngelo Williams,PIT,RB,@Wsh,W 38-16,0/0,0.0,0.0,0.0,17.3,83.7,0.5,3.0,22.3,0.1,,,,,,13.2
LeSean McCoy,BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,16.7,72.1,0.6,2.7,20.0,0.1,,,,,,12.9
Ezekiel Elliott,DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,16.0,71.9,0.5,2.6,21.8,0.1,,,,,,12.3
Mark Ingram,NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,15.9,66.3,0.6,3.8,25.9,0.1,,,,,,12.1
Devonta Freeman,ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,15.8,59.3,0.5,4.2,34.5,0.2,,,,,,12.1
David Johnson,ARI,RB,NE,L 21-23,0/0,0.0,0.0,0.0,14.4,58.4,0.4,3.9,35.5,0.2,,,,,,11.4
Ryan Mathews,PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,14.6,71.0,0.5,1.4,11.4,0.0,,,,,,10.8
Doug Martin,TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,17.2,78.3,0.4,2.0,16.2,0.1,,,,,,10.5
Carlos Hyde,SFO,RB,LA,W 28-0,0/0,0.0,0.0,0.0,17.7,69.2,0.5,2.0,14.0,0.1,,,,,,10.3
Spencer Ware,KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,12.8,60.3,0.6,1.2,9.2,0.0,,,,,,9.9
DeMarco Murray,TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,15.0,66.3,0.5,1.8,13.5,0.0,,,,,,9.9
Frank Gore,IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,14.5,60.3,0.4,2.0,17.6,0.1,,,,,,9.9
Latavius Murray,OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,14.1,66.6,0.4,2.3,18.0,0.1,,,,,,9.8
C.J. Anderson,DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,14.4,62.4,0.4,1.8,13.3,0.1,,,,,,9.6
Jeremy Langford,CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,15.7,61.0,0.4,2.4,19.6,0.1,,,,,,9.4
Matt Forte,NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,13.7,57.9,0.3,3.4,25.5,0.1,,,,,,9.2
Eddie Lacy,GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,14.4,59.9,0.4,1.9,15.5,0.1,,,,,,8.7
Christine Michael,SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,13.8,60.4,0.4,1.0,8.7,0.1,,,,,,8.6
Rashad Jennings,NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,13.0,56.8,0.3,2.1,17.0,0.1,,,,,,8.4
Justin Forsett,BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,12.6,59.0,0.3,2.4,15.3,0.1,,,,,,8.3
Ameer Abdullah,DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,12.4,55.5,0.3,2.4,19.8,0.1,,,,,,8.3
T.J. Yeldon,JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,13.7,57.9,0.3,2.5,19.1,0.1,,,,,,8.2
Jeremy Hill,CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,14.0,51.7,0.4,1.2,8.5,0.0,,,,,,7.4
Jonathan Stewart,CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,14.4,55.5,0.3,1.2,7.9,0.0,,,,,,7.0
Melvin Gordon,SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,13.9,55.2,0.2,2.2,13.6,0.1,,,,,,7.0
Terrance West,BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,11.6,48.7,0.3,1.6,11.0,0.0,,,,,,7.0
Isaiah Crowell,CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,12.2,50.5,0.3,1.0,7.7,0.0,,,,,,7.0
Theo Riddick,DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,3.9,16.6,0.1,4.4,40.2,0.2,,,,,,6.9
Danny Woodhead,SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,6.1,25.3,0.1,4.5,38.4,0.2,,,,,,6.9
Arian Foster,MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,10.8,40.0,0.2,3.1,22.8,0.1,,,,,,6.8
Giovani Bernard,CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,9.3,35.9,0.2,3.1,24.5,0.1,,,,,,6.7
Charcandrick West,KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,8.3,35.9,0.4,1.9,16.0,0.1,,,,,,6.7
Matt Jones,WAS,RB,Pit,L 16-38,0/0,0.0,0.0,0.0,11.3,45.1,0.3,1.4,14.0,0.1,,,,,,6.6
Duke Johnson Jr.,CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,8.1,33.7,0.2,3.1,25.6,0.1,,,,,,6.6
LeGarrette Blount,NWE,RB,@Ari,W 23-21,0/0,0.0,0.0,0.0,12.7,52.6,0.2,0.3,2.0,0.0,,,,,,6.4
Charles Sims,TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,6.8,28.8,0.1,3.5,30.1,0.1,,,,,,6.4
Derrick Henry,TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,9.1,39.0,0.4,1.3,10.4,0.0,,,,,,6.2
Tevin Coleman,ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,9.0,35.4,0.3,1.7,12.9,0.1,,,,,,6.2
Darren Sproles,PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,5.0,24.6,0.2,2.8,26.2,0.1,,,,,,5.9
Shane Vereen,NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,4.0,17.4,0.1,3.3,30.2,0.2,,,,,,5.7
Bilal Powell,NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,9.0,38.1,0.2,2.5,17.7,0.1,,,,,,5.3
James White,NWE,RB,@Ari,W 23-21,0/0,0.0,0.0,0.0,4.2,16.3,0.1,4.1,38.6,0.1,,,,,,5.3
James Starks,GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,7.6,31.2,0.2,1.3,10.6,0.1,,,,,,5.2
Thomas Rawls,SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,7.4,35.5,0.2,0.6,5.3,0.0,,,,,,4.5
Devontae Booker,DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,7.9,31.4,0.2,1.2,8.3,0.0,,,,,,4.5
Jerick McKinnon,MIN,RB,@Ten,W 25-16,0/0,0.0,0.0,0.0,5.1,23.0,0.1,2.3,18.8,0.1,,,,,,4.2
Shaun Draughn,SFO,RB,LA,W 28-0,0/0,0.0,0.0,0.0,6.0,22.2,0.1,2.5,18.1,0.1,,,,,,4.2
DeAndre Washington,OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,5.0,22.5,0.1,1.7,15.9,0.1,,,,,,4.1
Ka'Deem Carey,CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,6.6,26.5,0.1,1.5,10.4,0.0,,,,,,4.0
Chris Thompson,WAS,RB,Pit,L 16-38,0/0,0.0,0.0,0.0,2.9,13.0,0.1,2.8,23.6,0.1,,,,,,4.0
C.J. Prosise,SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,4.6,19.8,0.1,1.7,14.9,0.1,,,,,,3.3
Orleans Darkwa,NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,5.8,24.5,0.2,0.3,2.2,0.0,,,,,,3.0
Robert Kelley,WAS,RB,Pit,L 16-38,0/0,0.0,0.0,0.0,6.9,27.6,0.2,0.3,2.2,0.0,,,,,,3.0
Alfred Morris,DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,6.0,25.9,0.1,0.2,1.8,0.0,,,,,,2.9
Chris Johnson,ARI,RB,NE,L 21-23,0/0,0.0,0.0,0.0,5.8,24.0,0.1,0.1,1.0,0.0,,,,,,2.8
Benjamin Cunningham,LAR,RB,@SF,L 0-28,0/0,0.0,0.0,0.0,2.6,10.9,0.1,1.5,13.6,0.0,,,,,,2.7
Tim Hightower,NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,5.0,19.7,0.2,0.6,4.4,0.0,,,,,,2.2
Reggie Bush,BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,4.3,17.9,0.1,1.0,7.5,0.0,,,,,,2.0
