Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
AJ McCarron,CIN,QB,Mia,W 22-7,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mark Sanchez,DAL,QB,@SF,W 24-17,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Mallett,BAL,QB,Oak,L 27-28,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Trevone Boykin,SEA,QB,@NYJ,W 27-17,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dan Orlovsky,DET,QB,@Chi,L 14-17,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tom Savage,HOU,QB,Ten,W 27-20,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Luke McCown,NOR,QB,@SD,W 35-34,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mike Glennon,TAM,QB,Den,L 7-27,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Nassib,NYG,QB,@Min,L 10-24,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Barkley,CHI,QB,Det,W 17-14,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EJ Manuel,BUF,QB,@NE,W 16-0,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Charlie Whitehurst,CLE,QB,@Wsh,L 20-31,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Paxton Lynch,DEN,QB,@TB,W 27-7,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Geno Smith,NYJ,QB,Sea,L 17-27,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Schaub,ATL,QB,Car,W 48-33,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Nick Foles,KAN,QB,@Pit,L 14-43,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Shaun Hill,MIN,QB,NYG,W 24-10,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Cassel,TEN,QB,@Hou,L 20-27,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Moore,MIA,QB,@Cin,L 7-22,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tom Brady,NWE,QB,Buf,L 0-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Mike Vick,PIT,QB,KC,W 43-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh McCown,CLE,QB,@Wsh,L 20-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tony Romo,DAL,QB,@SF,W 24-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Aaron Rodgers,GNB,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jay Cutler,CHI,QB,Det,W 17-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tarvaris Jackson,SEA,QB,@NYJ,W 27-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Bruce Gradkowski,PIT,QB,KC,W 43-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Josh Javon Johnson,NYG,QB,@Min,L 10-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Flynn,NOR,QB,@SD,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chase Daniel,PHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Josh Freeman,IND,QB,@Jax,L 27-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jimmy Clausen,BAL,QB,Oak,L 27-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tim Tebow,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Dan LeFevour,TAM,QB,Den,L 7-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Webb,CAR,QB,@Atl,L 33-48,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Thaddeus Lewis,SFO,QB,Dal,L 17-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Christian Ponder,SFO,QB,Dal,L 17-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
T.J. Yates,HOU,QB,Ten,W 27-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jerrod Johnson,DAL,QB,@SF,W 24-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Robert Griffin III,CLE,QB,@Wsh,L 20-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Weeden,HOU,QB,Ten,W 27-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kellen Moore,DAL,QB,@SF,W 24-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Lindley,IND,QB,@Jax,L 27-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Austin Davis,DEN,QB,@TB,W 27-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Simms,ATL,QB,Car,W 48-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Alex Tanney,TEN,QB,@Hou,L 20-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sean Renfree,ATL,QB,Car,W 48-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Zac Dysert,ARI,QB,LA,L 13-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Ryan Griffin,TAM,QB,Den,L 7-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tyler Bray,KAN,QB,@Pit,L 14-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Teddy Bridgewater,MIN,QB,NYG,W 24-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Johnny Manziel,CLE,QB,@Wsh,L 20-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jimmy Garoppolo,NWE,QB,Buf,L 0-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Tajh Boyd,PIT,QB,KC,W 43-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Logan Thomas,NYG,QB,@Min,L 10-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Zach Mettenberger,PIT,QB,KC,W 43-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
David Fales,CHI,QB,Det,W 17-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Keith Wenning,CIN,QB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Aaron Murray,KAN,QB,@Pit,L 14-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt Blanchard,CHI,QB,Det,W 17-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dustin Vaughan,PIT,QB,KC,W 43-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Connor Shaw,CHI,QB,Det,W 17-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Bryce Petty,NYJ,QB,Sea,L 17-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Dylan Thompson,LAR,QB,@Ari,W 17-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Sean Mannion,LAR,QB,@Ari,W 17-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Garrett Grayson,NOR,QB,@SD,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brett Hundley,GNB,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Carson Wentz,PHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Christian Hackenberg,NYJ,QB,Sea,L 17-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Connor Cook,OAK,QB,@Bal,W 28-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Cardale Jones,BUF,QB,@NE,W 16-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kevin Hogan,KAN,QB,@Pit,L 14-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Nate Sudfeld,WAS,QB,Cle,W 31-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jake Rudock,DET,QB,@Chi,L 14-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Allen,JAC,QB,Ind,W 30-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jeff Driskel,CIN,QB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brandon Doughty,MIA,QB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Taylor Heinicke,MIN,QB,NYG,W 24-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Stephen Morris,IND,QB,@Jax,L 27-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Callahan,GNB,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jared Goff,LAR,QB,@Ari,W 17-13,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.0
Lamar Miller,HOU,RB,Ten,W 27-20,0/0,0.0,0.0,0.0,25.3,107.6,0.6,2.9,20.8,0.1,,,,,,16.1
Le'Veon Bell,PIT,RB,KC,W 43-14,0/0,0.0,0.0,0.0,18.3,80.8,0.5,4.4,34.3,0.2,,,,,,15.3
David Johnson,ARI,RB,LA,L 13-17,0/0,0.0,0.0,0.0,19.9,79.7,0.7,3.2,29.0,0.2,,,,,,14.1
Melvin Gordon,SDG,RB,NO,L 34-35,0/0,0.0,0.0,0.0,18.2,81.7,0.5,3.6,29.2,0.1,,,,,,13.6
Ezekiel Elliott,DAL,RB,@SF,W 24-17,0/0,0.0,0.0,0.0,21.6,86.7,0.7,2.3,19.2,0.1,,,,,,13.5
LeGarrette Blount,NWE,RB,Buf,L 0-16,0/0,0.0,0.0,0.0,23.0,95.9,0.7,0.1,0.7,0.0,,,,,,13.3
Mark Ingram,NOR,RB,@SD,W 35-34,0/0,0.0,0.0,0.0,15.2,72.1,0.6,3.0,22.6,0.1,,,,,,13.1
C.J. Anderson,DEN,RB,@TB,W 27-7,0/0,0.0,0.0,0.0,19.3,76.5,0.6,2.5,21.5,0.1,,,,,,13.1
LeSean McCoy,BUF,RB,@NE,W 16-0,0/0,0.0,0.0,0.0,16.1,71.5,0.4,3.8,27.5,0.1,,,,,,11.9
Todd Gurley,LAR,RB,@Ari,W 17-13,0/0,0.0,0.0,0.0,18.3,77.0,0.6,2.1,15.0,0.0,,,,,,11.4
Carlos Hyde,SFO,RB,Dal,L 17-24,0/0,0.0,0.0,0.0,17.3,74.1,0.5,1.8,13.0,0.1,,,,,,11.3
Spencer Ware,KAN,RB,@Pit,L 14-43,0/0,0.0,0.0,0.0,12.4,53.5,0.5,3.2,26.8,0.1,,,,,,10.5
Jordan Howard,CHI,RB,Det,W 17-14,0/0,0.0,0.0,0.0,15.2,65.5,0.5,2.5,19.4,0.1,,,,,,10.5
Matt Forte,NYJ,RB,Sea,L 17-27,0/0,0.0,0.0,0.0,17.5,61.9,0.3,3.2,23.7,0.1,,,,,,10.5
Frank Gore,IND,RB,@Jax,L 27-30,0/0,0.0,0.0,0.0,16.4,64.5,0.5,2.3,19.6,0.1,,,,,,10.4
DeMarco Murray,TEN,RB,@Hou,L 20-27,0/0,0.0,0.0,0.0,14.1,64.8,0.3,4.0,27.7,0.1,,,,,,10.2
Matt Jones,WAS,RB,Cle,W 31-20,0/0,0.0,0.0,0.0,15.6,62.3,0.5,1.1,10.8,0.0,,,,,,9.9
Christine Michael,SEA,RB,@NYJ,W 27-17,0/0,0.0,0.0,0.0,16.9,64.0,0.4,2.4,19.3,0.1,,,,,,9.8
Jeremy Hill,CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,16.5,69.9,0.6,1.0,7.5,0.0,,,,,,9.8
Terrance West,BAL,RB,Oak,L 27-28,0/0,0.0,0.0,0.0,15.7,68.6,0.4,1.7,13.0,0.1,,,,,,9.6
Jerick McKinnon,MIN,RB,NYG,W 24-10,0/0,0.0,0.0,0.0,15.6,64.2,0.4,2.0,13.9,0.0,,,,,,9.4
Theo Riddick,DET,RB,@Chi,L 14-17,0/0,0.0,0.0,0.0,8.3,32.3,0.2,4.7,41.7,0.2,,,,,,9.4
Charles Sims,TAM,RB,Den,L 7-27,0/0,0.0,0.0,0.0,14.1,55.2,0.3,3.7,28.5,0.1,,,,,,9.0
Devonta Freeman,ATL,RB,Car,W 48-33,0/0,0.0,0.0,0.0,11.9,46.5,0.4,2.9,21.2,0.1,,,,,,8.9
Isaiah Crowell,CLE,RB,@Wsh,L 20-31,0/0,0.0,0.0,0.0,15.2,69.9,0.4,0.9,7.7,0.0,,,,,,8.5
Cameron Artis-Payne,CAR,RB,@Atl,L 33-48,0/0,0.0,0.0,0.0,13.9,60.2,0.4,0.9,6.2,0.0,,,,,,8.5
Latavius Murray,OAK,RB,@Bal,W 28-27,0/0,0.0,0.0,0.0,10.9,44.5,0.4,2.1,14.7,0.1,,,,,,7.8
Orleans Darkwa,NYG,RB,@Min,L 10-24,0/0,0.0,0.0,0.0,13.1,51.9,0.2,1.7,11.0,0.1,,,,,,7.7
Duke Johnson Jr.,CLE,RB,@Wsh,L 20-31,0/0,0.0,0.0,0.0,6.7,30.4,0.2,4.1,34.7,0.1,,,,,,7.6
Tevin Coleman,ATL,RB,Car,W 48-33,0/0,0.0,0.0,0.0,9.1,35.2,0.3,3.0,25.4,0.1,,,,,,7.3
Chris Ivory,JAC,RB,Ind,W 30-27,0/0,0.0,0.0,0.0,10.9,48.1,0.3,1.7,13.3,0.1,,,,,,7.1
Giovani Bernard,CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,7.9,34.4,0.2,3.9,28.3,0.1,,,,,,7.0
Javorius Allen,BAL,RB,Oak,L 27-28,0/0,0.0,0.0,0.0,7.8,34.7,0.2,2.8,22.5,0.1,,,,,,6.9
Dwayne Washington,DET,RB,@Chi,L 14-17,0/0,0.0,0.0,0.0,12.2,49.0,0.5,1.1,8.5,0.0,,,,,,6.9
T.J. Yeldon,JAC,RB,Ind,W 30-27,0/0,0.0,0.0,0.0,8.2,34.2,0.2,2.8,22.7,0.1,,,,,,6.6
Jamaal Charles,KAN,RB,@Pit,L 14-43,0/0,0.0,0.0,0.0,6.3,31.4,0.2,2.3,19.8,0.1,,,,,,5.7
Shaun Draughn,SFO,RB,Dal,L 17-24,0/0,0.0,0.0,0.0,7.7,30.9,0.2,2.0,15.6,0.1,,,,,,5.3
Matt Asiata,MIN,RB,NYG,W 24-10,0/0,0.0,0.0,0.0,7.4,25.8,0.3,1.9,12.9,0.1,,,,,,5.2
Fozzy Whittaker,CAR,RB,@Atl,L 33-48,0/0,0.0,0.0,0.0,6.5,28.4,0.2,2.1,15.3,0.1,,,,,,4.5
Joique Bell,CHI,RB,Det,W 17-14,0/0,0.0,0.0,0.0,6.6,29.4,0.2,1.3,12.7,0.0,,,,,,4.5
Chris Thompson,WAS,RB,Cle,W 31-20,0/0,0.0,0.0,0.0,4.5,20.2,0.2,2.2,19.1,0.1,,,,,,4.3
James White,NWE,RB,Buf,L 0-16,0/0,0.0,0.0,0.0,3.3,13.2,0.1,2.6,22.9,0.1,,,,,,4.3
Kenyan Drake,MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,6.9,26.7,0.2,1.9,15.6,0.1,,,,,,4.2
Bobby Rainey,NYG,RB,@Min,L 10-24,0/0,0.0,0.0,0.0,4.9,18.9,0.1,2.8,21.1,0.1,,,,,,4.1
Travaris Cadet,NOR,RB,@SD,W 35-34,0/0,0.0,0.0,0.0,0.7,3.1,0.0,3.5,31.2,0.1,,,,,,3.9
Derrick Henry,TEN,RB,@Hou,L 20-27,0/0,0.0,0.0,0.0,7.7,32.5,0.1,0.7,5.1,0.0,,,,,,3.9
Jay Ajayi,MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,6.5,25.9,0.2,0.8,5.5,0.0,,,,,,3.4
Alex Collins,SEA,RB,@NYJ,W 27-17,0/0,0.0,0.0,0.0,5.4,17.7,0.2,1.6,11.8,0.1,,,,,,3.3
Devontae Booker,DEN,RB,@TB,W 27-7,0/0,0.0,0.0,0.0,6.5,24.1,0.2,0.7,5.3,0.0,,,,,,3.2
Alfred Morris,DAL,RB,@SF,W 24-17,0/0,0.0,0.0,0.0,6.2,24.6,0.2,0.5,3.7,0.0,,,,,,3.2
Dexter McCluster,SDG,RB,NO,L 34-35,0/0,0.0,0.0,0.0,1.7,8.1,0.0,2.9,28.9,0.2,,,,,,3.2
Jalen Richard,OAK,RB,@Bal,W 28-27,0/0,0.0,0.0,0.0,5.4,20.3,0.1,1.3,9.2,0.0,,,,,,3.2
DeAndre Washington,OAK,RB,@Bal,W 28-27,0/0,0.0,0.0,0.0,6.1,23.7,0.2,0.8,5.5,0.0,,,,,,3.1
Tim Hightower,NOR,RB,@SD,W 35-34,0/0,0.0,0.0,0.0,4.5,20.0,0.2,0.3,2.5,0.0,,,,,,3.1
Bilal Powell,NYJ,RB,Sea,L 17-27,0/0,0.0,0.0,0.0,5.4,19.5,0.1,2.5,17.0,0.1,,,,,,2.9
Chris Johnson,ARI,RB,LA,L 13-17,0/0,0.0,0.0,0.0,5.2,21.0,0.2,0.1,0.9,0.0,,,,,,2.9
DeAngelo Williams,PIT,RB,KC,W 43-14,0/0,0.0,0.0,0.0,5.6,25.9,0.1,0.8,5.8,0.0,,,,,,2.9
Jacquizz Rodgers,TAM,RB,Den,L 7-27,0/0,0.0,0.0,0.0,6.1,22.5,0.1,1.1,6.2,0.0,,,,,,2.8
Mike Tolbert,CAR,RB,@Atl,L 33-48,0/0,0.0,0.0,0.0,3.1,12.5,0.1,1.2,9.2,0.1,,,,,,2.2
Robert Turbin,IND,RB,@Jax,L 27-30,0/0,0.0,0.0,0.0,4.0,15.8,0.1,0.8,6.1,0.0,,,,,,1.8
Josh Ferguson,IND,RB,@Jax,L 27-30,0/0,0.0,0.0,0.0,1.7,6.2,0.0,2.3,18.3,0.1,,,,,,1.8
Kyle Juszczyk,BAL,RB,Oak,L 27-28,0/0,0.0,0.0,0.0,0.3,1.0,0.0,1.6,14.5,0.1,,,,,,1.7
