Rk,Player,Team,Pos,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
11,LeSean McCoy,BUF,RB,0/0,0,0,0,266.8,1175.4,8.6,43,319.1,1.6,206.9
12,Jonathan Stewart,CAR,RB,0/0,0,0,0,237,1026.5,6.6,20.1,149.2,0.6,156.6
13,Carlos Hyde,SFO,RB,0/0,0,0,0,256.3,1025.4,7.1,34,239.3,0.9,171.2
14,C.J. Anderson,DEN,RB,0/0,0,0,0,233.8,1044.6,7.1,25.8,206.7,0.8,169.3
15,Jamaal Charles,KAN,RB,0/0,0,0,0,185.6,949.5,7.2,39.5,332.1,1.8,174.9
16,Thomas Rawls,SEA,RB,0/0,0,0,0,217.4,1013.5,5.6,17.7,142.1,1,153.2
17,Matt Forte,NYJ,RB,0/0,0,0,0,209.2,865.6,4.9,52.5,435.9,1.7,166.6
18,Jeremy Hill,CIN,RB,0/0,0,0,0,231.4,950.5,7.5,19,140.4,0.8,154.6
19,Latavius Murray,OAK,RB,0/0,0,0,0,230,976.7,5.5,33.4,238.8,1.7,159.9
20,Ryan Mathews,PHI,RB,0/0,0,0,0,210.7,957.3,5.3,22.9,169.6,0.5,141.2
21,DeMarco Murray,TEN,RB,0/0,0,0,0,225.9,985,7.6,29.6,226.1,0.8,167.9
22,Jeremy Langford,CHI,RB,0/0,0,0,0,219.9,886.4,6.2,34.3,305.8,1.1,158.1
23,Matt Jones,WAS,RB,0/0,0,0,0,200.2,796.2,4.6,21.7,211.2,0.9,126.3
24,Melvin Gordon,SDG,RB,0/0,0,0,0,246.7,948.6,4.1,33.1,219.8,1.1,138.1
25,Duke Johnson Jr.,CLE,RB,0/0,0,0,0,127.4,519.3,3.1,50.4,396.6,1.4,116.4
26,Danny Woodhead,SDG,RB,0/0,0,0,0,107.9,435.5,2.5,69.4,613.7,3.7,141.3
27,Frank Gore,IND,RB,0/0,0,0,0,216.2,870.4,5.3,33.2,279.2,1.4,151.7
28,Rashad Jennings,NYG,RB,0/0,0,0,0,195.9,855.9,4.9,29.3,232.9,0.9,141.3
29,T.J. Yeldon,JAC,RB,0/0,0,0,0,155.9,647.2,3.9,35.6,275.6,1.4,120.2
30,Giovani Bernard,CIN,RB,0/0,0,0,0,152.8,657.7,4,49.4,406,1.3,135.7
31,Arian Foster,MIA,RB,0/0,0,0,0,156.7,665.4,4.7,35.6,291,1.5,128.4
32,Ameer Abdullah,DET,RB,0/0,0,0,0,202.8,863.3,5.1,37.1,292.3,1.2,147.6
33,Chris Ivory,JAC,RB,0/0,0,0,0,164.6,720.5,5.2,20.2,143.1,0.8,119.7
34,Derrick Henry,TEN,RB,0/0,0,0,0,158.1,672,6.7,21.1,174,0.7,126.4
35,DeAngelo Williams,PIT,RB,0/0,0,0,0,127.1,600.2,3.4,12.3,91.4,0.4,90.5
36,Bilal Powell,NYJ,RB,0/0,0,0,0,132.8,546.5,2.8,40.8,319.8,1.3,107.8
37,Jay Ajayi,MIA,RB,0/0,0,0,0,117.5,477.8,3.6,19.9,147.8,0.6,84.7
38,Theo Riddick,DET,RB,0/0,0,0,0,64,258,2,68.7,596.2,2.8,111.8
39,Charles Sims,TAM,RB,0/0,0,0,0,107.5,445.7,2.4,55.5,468.7,1.9,113.7
40,Isaiah Crowell,CLE,RB,0/0,0,0,0,190.7,776.9,5,15.8,119.8,0.5,120
41,James Starks,GNB,RB,0/0,0,0,0,115.4,490.5,2.5,20.6,157.9,0.8,81.4
42,LeGarrette Blount,NWE,RB,0/0,0,0,0,212.8,912.9,6.5,4.4,32.7,0.2,132.1
43,Spencer Ware,KAN,RB,0/0,0,0,0,99.3,437.4,4.8,7.4,55,0.2,77.1
44,Terrance West,BAL,RB,0/0,0,0,0,117.8,481.3,3.3,9.9,73.2,0.3,73.2
45,Tevin Coleman,ATL,RB,0/0,0,0,0,124.1,520.5,3.9,23.4,169.9,0.6,93.1
46,Devontae Booker,DEN,RB,0/0,0,0,0,140.3,582.3,4.7,22.4,176.5,0.6,104.7
