Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Joe Flacco,WA (Wed),,BAL,QB,Pit,Sun 1:00,25.9/42.1,286.2,1.4,1.2,2.0,3.7,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,15.3
Ryan Fitzpatrick,WA (Wed),,NYJ,QB,@Mia,Sun 1:00,21.7/35.3,261.2,1.3,1.2,3.3,15.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,15.1
Matthew Stafford,DAN,,DET,QB,@Min,Sun 1:00,26.2/39.3,276.3,1.3,1.1,2.4,7.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,15.0
Alex Smith,WA (Wed),,KAN,QB,Jax,Sun 1:00,20.2/31.4,208.3,1.3,0.6,3.2,17.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,14.4
Blake Bortles,BLRT,,JAC,QB,@KC,Sun 1:00,22.3/38.8,245.8,1.3,1.5,3.8,21.0,0.1,0.0,0.0,0.0,,,,,,,,,,1.5,,,14.3
Derek Carr,SCOT,,OAK,QB,Den,Sun 8:30,22.1/36.2,216.5,1.7,0.9,2.0,5.2,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,14.2
Eli Manning,WA (Wed),,NYG,QB,Phi,Sun 1:00,24.4/38.3,283.4,1.4,1.3,1.0,2.1,0.0,0.0,0.0,0.0,,,,,,,,,,1.3,,,13.9
Josh McCown,WA (Wed),,CLE,QB,Dal,Sun 1:00,21.6/35.8,253.6,1.1,1.1,3.2,15.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,13.8
Sam Bradford,WA (Wed),,MIN,QB,Det,Sun 1:00,20.9/30.4,244.0,1.3,0.7,2.1,5.7,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,13.8
Tyrod Taylor,BKN,,BUF,QB,@Sea,Mon 8:30,17.9/31.2,188.6,1.1,1.1,6.1,29.0,0.2,0.0,0.0,0.0,,,,,,,,,,1.1,,,13.1
Carson Wentz,WA (Wed),,PHI,QB,@NYG,Sun 1:00,21.6/35.6,227.4,1.4,1.3,3.4,12.1,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,12.7
Case Keenum,WA (Wed),,LAR,QB,Car,Sun 4:05,19.3/30.6,230.7,1.1,1.1,2.1,5.8,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,12.3
Brett Hundley,WA (Wed),,GNB,QB,Ind,Sun 4:25,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Luke McCown,WA (Wed),,NOR,QB,@SF,Sun 4:05,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Glennon,WA (Wed),,TAM,QB,Atl,Thu 8:25,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Cassel,WA (Wed),,TEN,QB,@SD,Sun 4:25,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Scott Tolzien,WA (Wed),,IND,QB,@GB,Sun 4:25,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Schaub,WA (Wed),,ATL,QB,@TB,Thu 8:25,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Clemens,WA (Wed),,SDG,QB,Ten,Sun 4:25,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Blaine Gabbert,WA (Wed),,SFO,QB,NO,Sun 4:05,0.1/0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Paxton Lynch,WA (Wed),,DEN,QB,@Oak,Sun 8:30,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Landry Jones,WA (Wed),,PIT,QB,@Bal,Sun 1:00,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bryce Petty,WA (Wed),,NYJ,QB,@Mia,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mark Sanchez,WA (Wed),,DAL,QB,@Cle,Sun 1:00,0.1/0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Trevone Boykin,WA (Wed),,SEA,QB,Buf,Mon 8:30,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Moore,WA (Wed),,MIA,QB,NYJ,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Derek Anderson,WA (Wed),,CAR,QB,@LA,Sun 4:05,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Mallett,WA (Wed),,BAL,QB,Pit,Sun 1:00,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt McGloin,WA (Wed),,OAK,QB,Den,Sun 8:30,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Shaun Hill,WA (Wed),,MIN,QB,Det,Sun 1:00,0.1/0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Nassib,WA (Wed),,NYG,QB,Phi,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nick Foles,WA (Wed),,KAN,QB,Jax,Sun 1:00,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cody Kessler,WA (Wed),,CLE,QB,Dal,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chad Henne,WA (Wed),,JAC,QB,@KC,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chase Daniel,WA (Wed),,PHI,QB,@NYG,Sun 1:00,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
EJ Manuel,WA (Wed),,BUF,QB,@Sea,Mon 8:30,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dan Orlovsky,WA (Wed),,DET,QB,@Min,Sun 1:00,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jared Goff,WA (Wed),,LAR,QB,Car,Sun 4:05,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tom Brady,WA (Wed),,NWE,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Mike Vick,WA (Wed),,PIT,QB,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Carson Palmer,GARI,,ARI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tony Romo,WA (Wed),,DAL,QB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jay Cutler,WA (Wed),,CHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tarvaris Jackson,WA (Wed),,SEA,QB,Buf,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Charlie Whitehurst,WA (Wed),,CLE,QB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bruce Gradkowski,WA (Wed),,PIT,QB,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Drew Stanton,WA (Wed),,ARI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Josh Javon Johnson,WA (Wed),,NYG,QB,Phi,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Flynn,WA (Wed),,NOR,QB,@SF,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh Freeman,WA (Wed),,IND,QB,@GB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brian Hoyer,WA (Wed),,CHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jimmy Clausen,WA (Wed),,BAL,QB,Pit,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Colt McCoy,WA (Wed),,WAS,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tim Tebow,WA (Wed),,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dan LeFevour,WA (Wed),,TAM,QB,Atl,Thu 8:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Webb,WA (Wed),,CAR,QB,@LA,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Thaddeus Lewis,WA (Wed),,SFO,QB,NO,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Christian Ponder,WA (Wed),,SFO,QB,NO,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Andy Dalton,GARI,,CIN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
T.J. Yates,WA (Wed),,HOU,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jerrod Johnson,WA (Wed),,DAL,QB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Robert Griffin III,WA (Wed),,CLE,QB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Weeden,WA (Wed),,HOU,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Brock Osweiler,WA (Wed),,HOU,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Kirk Cousins,LOS,,WAS,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Kellen Moore,WA (Wed),,DAL,QB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Lindley,WA (Wed),,IND,QB,@GB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Austin Davis,WA (Wed),,DEN,QB,@Oak,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Simms,WA (Wed),,ATL,QB,@TB,Thu 8:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Alex Tanney,WA (Wed),,TEN,QB,@SD,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Geno Smith,WA (Wed),,NYJ,QB,@Mia,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Renfree,WA (Wed),,ATL,QB,@TB,Thu 8:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zac Dysert,WA (Wed),,ARI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt Barkley,WA (Wed),,CHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ryan Griffin,WA (Wed),,TAM,QB,Atl,Thu 8:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tyler Bray,WA (Wed),,KAN,QB,Jax,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Teddy Bridgewater,WA (Wed),,MIN,QB,Det,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Johnny Manziel,WA (Wed),,CLE,QB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Garoppolo,WA (Wed),,NWE,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
AJ McCarron,WA (Wed),,CIN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tajh Boyd,WA (Wed),,PIT,QB,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Logan Thomas,WA (Wed),,NYG,QB,Phi,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zach Mettenberger,WA (Wed),,PIT,QB,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
David Fales,WA (Wed),,CHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Keith Wenning,WA (Wed),,CIN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tom Savage,WA (Wed),,HOU,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Aaron Murray,WA (Wed),,KAN,QB,Jax,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Blanchard,WA (Wed),,CHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dustin Vaughan,WA (Wed),,PIT,QB,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Shaw,WA (Wed),,CHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dylan Thompson,WA (Wed),,LAR,QB,Car,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Mannion,WA (Wed),,LAR,QB,Car,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Garrett Grayson,WA (Wed),,NOR,QB,@SF,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Christian Hackenberg,WA (Wed),,NYJ,QB,@Mia,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jacoby Brissett,WA (Wed),,NWE,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Connor Cook,WA (Wed),,OAK,QB,Den,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cardale Jones,WA (Wed),,BUF,QB,@Sea,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kevin Hogan,WA (Wed),,CLE,QB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nate Sudfeld,WA (Wed),,WAS,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jake Rudock,WA (Wed),,DET,QB,@Min,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Allen,WA (Wed),,JAC,QB,@KC,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jeff Driskel,WA (Wed),,CIN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Brandon Doughty,WA (Wed),,MIA,QB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Taylor Heinicke,WA (Wed),,MIN,QB,Det,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Stephen Morris,WA (Wed),,IND,QB,@GB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Callahan,WA (Wed),,CLE,QB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ezekiel Elliott,SCOT,,DAL,RB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,23.9,110.2,0.8,2.3,20.2,0.1,,,,,,,,,,0.0,,,18.1
Le'Veon Bell,SCOT,,PIT,RB,@Bal,Sun 1:00,0/0,0.0,0.0,0.0,17.4,70.8,0.4,6.0,48.2,0.2,,,,,,,,,,0.0,,,15.4
Carlos Hyde,BLRT,,SFO,RB,NO,Sun 4:05,0/0,0.0,0.0,0.0,18.9,82.9,0.9,1.5,13.0,0.1,,,,,,,,,,0.0,,,15.4
Spencer Ware,GARI,,KAN,RB,Jax,Sun 1:00,0/0,0.0,0.0,0.0,17.1,76.0,0.9,2.3,21.0,0.1,,,,,,,,,,0.0,,,15.1
Matt Forte,FUNK,,NYJ,RB,@Mia,Sun 1:00,0/0,0.0,0.0,0.0,20.6,87.6,0.5,2.7,23.3,0.1,,,,,,,,,,0.0,,,14.7
DeMarco Murray,BLRT,,TEN,RB,@SD,Sun 4:25,0/0,0.0,0.0,0.0,18.0,79.5,0.5,3.7,27.2,0.2,,,,,,,,,,0.0,,,14.7
Devontae Booker,SCOT,,DEN,RB,@Oak,Sun 8:30,0/0,0.0,0.0,0.0,17.2,80.8,0.5,3.4,31.1,0.1,,,,,,,,,,0.0,,,14.7
Devonta Freeman,BLRT,,ATL,RB,@TB,Thu 8:25,0/0,0.0,0.0,0.0,16.7,62.1,0.6,3.7,33.2,0.2,,,,,,,,,,0.0,,,14.3
Melvin Gordon,BKN,,SDG,RB,Ten,Sun 4:25,0/0,0.0,0.0,0.0,20.4,75.0,0.6,3.1,22.7,0.1,,,,,,,,,,0.0,,,13.8
Todd Gurley,BKN,,LAR,RB,Car,Sun 4:05,0/0,0.0,0.0,0.0,19.3,72.8,0.6,3.0,25.1,0.1,,,,,,,,,,0.0,,,13.7
Mark Ingram,BKN,,NOR,RB,@SF,Sun 4:05,0/0,0.0,0.0,0.0,14.8,69.7,0.6,2.1,15.1,0.1,,,,,,,,,,0.0,,,12.6
Christine Michael,DAN,,SEA,RB,Buf,Mon 8:30,0/0,0.0,0.0,0.0,18.0,73.1,0.6,1.9,14.5,0.1,,,,,,,,,,0.0,,,12.2
LeSean McCoy,BLRT,,BUF,RB,@Sea,Mon 8:30,0/0,0.0,0.0,0.0,16.8,66.1,0.4,3.4,22.6,0.1,,,,,,,,,,0.0,,,11.6
Jay Ajayi,DAN,,MIA,RB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,15.5,61.7,0.6,1.6,14.7,0.1,,,,,,,,,,0.0,,,11.5
Frank Gore,SCOT,,IND,RB,@GB,Sun 4:25,0/0,0.0,0.0,0.0,14.6,57.7,0.4,2.5,21.9,0.1,,,,,,,,,,0.0,,,10.9
Isaiah Crowell,NOG,,CLE,RB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,13.7,61.2,0.5,1.5,11.9,0.0,,,,,,,,,,0.0,,,10.3
Theo Riddick,NOG,,DET,RB,@Min,Sun 1:00,0/0,0.0,0.0,0.0,10.7,38.3,0.2,5.5,42.7,0.2,,,,,,,,,,0.0,,,10.2
Terrance West,DAN,,BAL,RB,Pit,Sun 1:00,0/0,0.0,0.0,0.0,14.9,63.9,0.4,1.6,11.1,0.0,,,,,,,,,,0.0,,,10.1
Jonathan Stewart,LOS,,CAR,RB,@LA,Sun 4:05,0/0,0.0,0.0,0.0,16.6,72.8,0.4,1.0,6.6,0.0,,,,,,,,,,0.0,,,10.1
Jerick McKinnon,GARI,,MIN,RB,Det,Sun 1:00,0/0,0.0,0.0,0.0,13.6,64.0,0.3,2.2,17.7,0.1,,,,,,,,,,0.0,,,9.9
Rashad Jennings,BKN,,NYG,RB,Phi,Sun 1:00,0/0,0.0,0.0,0.0,12.8,59.8,0.3,2.4,18.5,0.1,,,,,,,,,,0.0,,,9.7
Ty Montgomery,WA (Wed),,GNB,RB,Ind,Sun 4:25,0/0,0.0,0.0,0.0,6.2,28.3,0.1,3.8,33.9,0.4,,,,,,,,,,0.0,,,9.4
Antone Smith,WA (Wed),,TAM,RB,Atl,Thu 8:25,0/0,0.0,0.0,0.0,12.6,56.9,0.3,2.4,17.3,0.1,,,,,,,,,,0.0,,,9.4
Latavius Murray,GARI,,OAK,RB,Den,Sun 8:30,0/0,0.0,0.0,0.0,12.5,47.1,0.3,2.3,13.9,0.1,,,,,,,,,,0.0,,,8.7
Matt Asiata,NOG,,MIN,RB,Det,Sun 1:00,0/0,0.0,0.0,0.0,9.8,41.0,0.3,2.2,17.3,0.1,,,,,,,,,,0.0,,,8.3
Duke Johnson Jr.,WA (Wed),,CLE,RB,Dal,Sun 1:00,0/0,0.0,0.0,0.0,5.6,24.4,0.2,4.1,34.9,0.1,,,,,,,,,,0.0,,,7.4
