Player,OwnCode,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Connor Shaw,WA (Wed),CHI,QB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Petty,WA (Wed),NYJ,QB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Thompson,FA,LAR,QB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Grayson,WA (Wed),NOR,QB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,FA,LAR,QB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Hackenberg,WA (Wed),NYJ,QB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Kessler,WA (Wed),CLE,QB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Cook,WA (Wed),OAK,QB,@NO,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardale Jones,WA (Wed),BUF,QB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Hogan,WA (Wed),KAN,QB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Sudfeld,FA,WAS,QB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Rudock,WA (Wed),DET,QB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,WA (Wed),JAC,QB,GB,L 23-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,WA (Wed),CIN,QB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Doughty,WA (Wed),MIA,QB,@Sea,L 10-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke,WA (Wed),MIN,QB,@Ten,W 25-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Morris,WA (Wed),IND,QB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Callahan,WA (Wed),GNB,QB,@Jax,W 27-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Henne,WA (Wed),JAC,QB,GB,L 23-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Todd Gurley,BKN,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,20.6,91.7,0.8,2.5,21.1,0.1,16.0
Adrian Peterson,APE,MIN,RB,@Ten,W 25-16,0/0,0.0,0.0,0.0,20.0,91.4,0.7,1.9,15.5,0.0,14.7
Lamar Miller,FUNK,HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,18.7,82.0,0.5,2.6,20.5,0.1,13.8
DeAngelo Williams,GARI,PIT,RB,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,17.3,83.7,0.5,3.0,22.3,0.1,13.8
Devonta Freeman,SLIV,ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,15.8,59.3,0.5,4.2,34.5,0.2,13.4
Mark Ingram,BKN,NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,15.9,66.3,0.6,3.8,25.9,0.1,13.4
LeSean McCoy,SLIV,BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,16.7,72.1,0.6,2.7,20.0,0.1,13.1
David Johnson,GARI,ARI,RB,NE,Sun 8:30,0/0,0.0,0.0,0.0,14.4,58.4,0.4,3.9,35.5,0.2,12.8
Ezekiel Elliott,SCOT,DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,16.0,71.9,0.5,2.6,21.8,0.1,12.6
Doug Martin,NOG,TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,17.2,78.3,0.4,2.0,16.2,0.1,12.0
Carlos Hyde,SLIV,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,17.7,69.2,0.5,2.0,14.0,0.1,11.7
Latavius Murray,GARI,OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,14.1,66.6,0.4,2.3,18.0,0.1,11.3
Ryan Mathews,SCOT,PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,14.6,71.0,0.5,1.4,11.4,0.0,11.1
Spencer Ware,SCOT,KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,12.8,60.3,0.6,1.2,9.2,0.0,10.9
DeMarco Murray,SLIV,TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,15.0,66.3,0.5,1.8,13.5,0.0,10.9
Frank Gore,SCOT,IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,14.5,60.3,0.4,2.0,17.6,0.1,10.7
Matt Forte,FUNK,NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,13.7,57.9,0.3,3.4,25.5,0.1,10.5
Jeremy Langford,SLIV,CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,15.7,61.0,0.4,2.4,19.6,0.1,10.4
Eddie Lacy,GARI,GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,14.4,59.9,0.4,1.9,15.5,0.1,10.3
C.J. Anderson,SCOT,DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,14.4,62.4,0.4,1.8,13.3,0.1,10.2
T.J. Yeldon,APE,JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,13.7,57.9,0.3,2.5,19.1,0.1,9.9
Ameer Abdullah,APE,DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,12.4,55.5,0.3,2.4,19.8,0.1,9.8
Rashad Jennings,BKN,NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,13.0,56.8,0.3,2.1,17.0,0.1,9.8
Justin Forsett,LOS,BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,12.6,59.0,0.3,2.4,15.3,0.1,9.8
Christine Michael,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,13.8,60.4,0.4,1.0,8.7,0.1,9.5
Jeremy Hill,BKN,CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,14.0,51.7,0.4,1.2,8.5,0.0,8.5
Jonathan Stewart,NOG,CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,14.4,55.5,0.3,1.2,7.9,0.0,8.4
Danny Woodhead,LOS,SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,6.1,25.3,0.1,4.5,38.4,0.2,8.3
Arian Foster,NOG,MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,10.8,40.0,0.2,3.1,22.8,0.1,8.0
Terrance West,WA (Wed),BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,11.6,48.7,0.3,1.6,11.0,0.0,7.9
Melvin Gordon,BKN,SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,13.9,55.2,0.2,2.2,13.6,0.1,7.9
Charcandrick West,WA (Wed),KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,8.3,35.9,0.4,1.9,16.0,0.1,7.9
Isaiah Crowell,WA (Wed),CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,12.2,50.5,0.3,1.0,7.7,0.0,7.8
Giovani Bernard,NOG,CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,9.3,35.9,0.2,3.1,24.5,0.1,7.7
Theo Riddick,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,3.9,16.6,0.1,4.4,40.2,0.2,7.6
Duke Johnson Jr.,NOG,CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,8.1,33.7,0.2,3.1,25.6,0.1,7.5
Matt Jones,FUNK,WAS,RB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,11.3,45.1,0.3,1.4,14.0,0.1,7.5
Charles Sims,WA (Wed),TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,6.8,28.8,0.1,3.5,30.1,0.1,7.3
Derrick Henry,APE,TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,9.1,39.0,0.4,1.3,10.4,0.0,7.2
Tevin Coleman,SLIV,ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,9.0,35.4,0.3,1.7,12.9,0.1,7.0
Darren Sproles,WA (Wed),PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,5.0,24.6,0.2,2.8,26.2,0.1,6.9
LeGarrette Blount,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,12.7,52.6,0.2,0.3,2.0,0.0,6.9
Bilal Powell,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,9.0,38.1,0.2,2.5,17.7,0.1,6.9
James White,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,4.2,16.3,0.1,4.1,38.6,0.1,6.8
Shane Vereen,WA (Wed),NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,4.0,17.4,0.1,3.3,30.2,0.2,6.5
Thomas Rawls,APE,SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,7.4,35.5,0.2,0.6,5.3,0.0,5.6
Devontae Booker,WA (Wed),DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,7.9,31.4,0.2,1.2,8.3,0.0,5.5
James Starks,WA (Wed),GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,7.6,31.2,0.2,1.3,10.6,0.1,5.4
Jerick McKinnon,WA (Wed),MIN,RB,@Ten,W 25-16,0/0,0.0,0.0,0.0,5.1,23.0,0.1,2.3,18.8,0.1,5.3
Shaun Draughn,FA,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,6.0,22.2,0.1,2.5,18.1,0.1,5.2
DeAndre Washington,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,5.0,22.5,0.1,1.7,15.9,0.1,4.9
C.J. Prosise,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,4.6,19.8,0.1,1.7,14.9,0.1,4.8
Ka'Deem Carey,WA (Wed),CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,6.6,26.5,0.1,1.5,10.4,0.0,4.7
Chris Thompson,FA,WAS,RB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,2.9,13.0,0.1,2.8,23.6,0.1,4.6
Robert Kelley,FA,WAS,RB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,6.9,27.6,0.2,0.3,2.2,0.0,4.0
Orleans Darkwa,WA (Wed),NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,5.8,24.5,0.2,0.3,2.2,0.0,3.7
Alfred Morris,SCOT,DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,6.0,25.9,0.1,0.2,1.8,0.0,3.7
Tim Hightower,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,5.0,19.7,0.2,0.6,4.4,0.0,3.6
